PostDate,Content,Author,RelativeDate,Likes,Dislikes
3 days ago,I think we found a golden turkey egg here.,Meowzer,,1,0
3 days ago,http://discord.gg/pvECT44bGU,mary devine,,0,0
5 days ago,,Lee,,6,0
4 months ago,Loading up,dom,,2,0
4 months ago,How’d you guys here about this before this week??,g,,0,0
4 months ago,,Bob,,0,0
4 months ago,this stock is ACTing up,Franco,,0,0
4 months ago,explosion next week. you heard it here first,ronny,,5,1
4 months ago,next week should be good,Leeroy,,2,0
4 months ago,first,Pupa,,4,0
