PostDate,Content,Author,RelativeDate,Likes,Dislikes
8 hours ago,This company is a local for me. they seem to have a great idea to long term problem and just announced that they are expanding operations. I have held stock for over a year and bought around where it is now. I have been waiting for it to come back and I am happy to see it is rebounding. It deserves recognition.,S,,1,0
yesterday,I found this company after finding BLSP. Does anyone know how they compare?,SmartMoney,,1,0
2 days ago,Volume picking up... nice to see...cmc needs to get noticed. Hopefully soon. So much value here...,Guy S,,0,0
5 days ago,Vancouver, British Columbia, Canada /January _, 2021 / Cielo Waste Solutions Corp. (CSE: CMC, OTCQB: CWSFF) (“Cielo” or the “Company”) is pleased to announce that the President &amp; CEO, Don Allan, will be hosting a live investor webinar on Thursday, January 28th to give an update on Cielo’s current operations and upcoming milestones.,Tommy,,5,0
6 days ago,Sent an email to investor relations , he says next financials to be released Mar 31 2021,michael,,2,0
14 days ago,Its time to shine :),Dale,,1,0
14 days ago,What a waste of time this stock is , only money generated is from sale of more stocks, look at chart for last ten years , this guy has not generated a single penny , yet pays himself very handsome pay checks at investors expense,michael,,1,0
20 days ago,2021 let’s go Cielo!,Tommy,,1,0
last month,Since Yahoo doesn't update the feed with the press releases, here is the latest:https://www.cielows.com/cielo-receives-debt-financing-term-sheets-and-provides-update/,Brad,,1,0
last month,Inside news...will be soon,Truthhurtz,,1,0
last month,Tough stock to interpret,David,,2,0
last month,I don’t know what this means but one observation I have made is that when all the other stocks are in the red, Cielo is often in the green,RVH,,2,0
last month,Anyone know next earnings date?,Tommy,,1,0
2 months ago,Is this stock halted? Says active in CSE site but there were 3 trades at 10:14am and nothing else all day... very bizarre,kyle,,0,0
2 months ago,I will never understand this stock.,RVH,,0,0
2 months ago,For those that missed this yesterday: https://www.marketscreener.com/quote/stock/CIELO-WASTE-SOLUTIONS-COR-33624587/news/Cielo-Waste-Announces-Pre-Sale-of-Renewable-Diesel-and-Provides-Business-Update-31849574/,Brad,,2,0
2 months ago,@thenewswire/cielo-announces-scale-up-of-planned-medicine-hat-ab,Dale,,3,0
3 months ago,politic coming into play,Jeremy,,0,0
3 months ago,https://drive.google.com/file/d/1Yb5WT_yDw4nSaGVlGd4kdQkjhQNBXBf6/view?usp=sharing,Dale,,4,0
3 months ago,Apparently the CEO of cielo ,  also had another company in the past , cielio Gold , no longer around , millions gone ,   And I wonder why he himself does the yearly finanaces,  and not a certified accountant and numbers not yet verified ?,michael,,1,0
3 months ago,Well here we are seven years later , and company says producing 800 litres per hour, Right now at suncor fuel terminal kamloops b.c litre of bio diesal fuel wholesale is .57 cents/litre .  so company making approx  800 litres x 16 hours x.57 cents $7296 bucks a day , not a huge return so far , after seven years, with wages and a 75 million dollar plant , lawyers consultants maintenance etc , only money in this stock for foreseeable future is for a day trader, or a short ,  longs have to be very patient unfortunatley,michael,,2,4
3 months ago,800lh is very very close to 1000lh great things to come thats for sure very scalable company with innovative technology very impressed myself, inventions don't build themselves and changing the world doesn't happen over night but anything can happen in the next year :),Dale,,1,0
3 months ago,Note to self.  Sell all my shares during the next news release and buy back again the next day.  Wait another year for more news and do it all over again.,RVH,,5,2
3 months ago,Yup typical ,  news hype raise some cash,michael,,0,0
3 months ago,Screw money and personal greed the world needs stronger minded souls to clean up the mess we have made for decades, forget what cash you might make and forget your one way of thinking of lining your pockets and put some effort towards cleaning up the world no different then when you throw a huge party at your house someone will have to clean the mess, the world is our stage and we are tripping over the trash we all made so put your faith into this garbage eating machine we all need.,Dale,,3,0
