PostDate,Content,Author,RelativeDate,Likes,Dislikes
19 minutes ago,Sorry some of it is in french. "Engaging government officials to raise awareness for Cielo Waste Solutions refining technology that converts garbage-derived feedstocks into high grade renewable diesel. Institutions gouvernementalesAffaires mondiales Canada (AMC)Cabinet du Premier ministre (CPM)Chambre des communesDiversification de l'économie de l'Ouest Canada (DEO)Environnement et Changement climatique Canada (ECCC)Ressources naturelles Canada (RNCan)More,Keaton,,3,0
35 minutes ago,Some of you must live in the area? Do a drive by amd give us a gelling if what’s going no at the site?,Bruce,,0,0
36 minutes ago,Someone shared this with me yesterday. To be honest i was a little baffled to see that this company is very well supported by the government. https://cielows.com/cielo-mentioned-in-the-house-of-commons/,Keaton,,5,0
37 minutes ago,https://lobbycanada.gc.ca/app/secure/ocl/lrs/do/vwRg?cno=364947&amp;regId=890794&amp;lang=fra,Carl,,3,0
39 minutes ago,I'm gonna try to buy 4000 shares today :),Cinthya,,0,0
1 hour ago,Damn y'all , good morning gonna have myself some breakfast and make some big buys down up in here from tuscany and austria,Popple,,2,0
10 hours ago,Get ready for the drop folks,Matthew,,10,3
12 hours ago,Holding only cmc and gmg in my TFSA. im losing here but winning there... Be an early investor in gmg. news out. in collaboration with BOSCH to mass produce graphene+aluminum batterries, glta,Penistock,,2,0
12 hours ago,If the price stays where it is, I’ll be able to average down to 51 cents tommorow :),Cinthya,,2,0
12 hours ago,My average price is $.90 but I am heres for years not months,Khan,,0,0
12 hours ago,hidden gem,  currently at a steal price, great upside potential,Khan,,0,0
13 hours ago,Just got the latest (secret) of the street CMC.V expected to go down to single digits in the next three months  ⚠️,Kool Kat,,1,2
14 hours ago,Let’s say how much is your average price, mine is $1.08,Dajiba,,2,2
14 hours ago,Cielo EBIT loss  is CA$3.8mill that is bad real bad I’d definitely stay away,Kool Kat,,0,0
14 hours ago,Wow 3 pumpers misleading everyone watch tomorrow what happens lol,Trasher,,2,0
14 hours ago,Lots of accumulation. Should start to climb again.,Nelson,,1,1
14 hours ago,Huge buy - price tripling from here within 12 months easy,DollarSense,,0,0
15 hours ago,Okay folks, here’s your buy signal buy buy buy !,Cinthya,,12,1
16 hours ago,Average price .91,Ivan,,7,1
16 hours ago,For Cinthya and hollabrook gal European style : C36.F - Cielo Waste Solutions Corp.Frankfurt - Frankfurt Delayed Price. Currency in EUR0.2820-0.0260 (-8.44%)At close: 7:11PM CESTMore,Trasher,,0,0
16 hours ago,Wow oink oink 🐽USA side 0.3250-0.0334 (-9.32%)At close: 3:57PM EDT,Oink oink 🐽,,0,0
17 hours ago,Renewable U should buy out Cielo pay Don big money then declare bankruptcy lol,Trasher,,3,0
17 hours ago,Will this one be back at $1 or higher in the future? If ever, how long?,Ambrocia,,6,5
17 hours ago,Tomorrow target is 0.36/37 oink oink 🐽,Oink oink 🐽,,3,1
17 hours ago,buy guys this is it .40,Jon,,1,1
17 hours ago,I shorted CMC.V 0.39 and won big and fast oink oink 🐽,Oink oink 🐽,,0,0
17 hours ago,Shorts fishing for stop loss...they'll eventually have to buy back and this will go back up to $.50,Mustafa,,8,1
18 hours ago,0.395 hit I win oink oink 🐽 now next level 🤔,Oink oink 🐽,,1,1
18 hours ago,Again, not to late to get in on RHC.V to re-coop your losses, well waiting for this to rebound! Possibly biggest news release to date. Coming this week or next! GL,Kyle,,0,1
18 hours ago,Shorting this was the best thing we did love ya Cielo,Kool Kat,,1,1
18 hours ago,(Un) Believable 😝 0.0500 (-11.11%),Money Duck 🤑,,1,0
18 hours ago,0.40 bid lol 😝,🚀Joe  🚀,,2,0
18 hours ago,NBM is rising up boys check it out,Felipe,,1,1
19 hours ago,This is German technology folks, Don bought it 10+ years ago and has been working to improve on it ever since. Even Don trusts the plan, this thing is going to have over 4000+ plants one day. Cielo is going to colonize the world with plants and take over the planetary garbage systems.,Matthew,,2,2
19 hours ago,Hope it stays down till Jan 1 2022,  free up another $6000 room to deposit into TFSA,justtrying,,8,2
19 hours ago,Hey everyone who can think logically on this form. Why would the CEO put nearly $100K of his own money into this stock ? Do you think because he’s sure it’s going to fail and they have no progress? Or do you think it’s because he knows the SP is going to pop because of the soon to be announced progress,peter,,12,2
20 hours ago,This will jump 20c on good news.,Striver,,2,3
20 hours ago,Next big support level around 26cents. 30cent range incoming,Small Caps = Early Retirement,,7,1
20 hours ago,loading up at 25 cents,Matthew,,7,2
20 hours ago,Don’t worry folks let Don take your money he deserves it all that hard work - we went nuts on LAC.T all year drove Lithium 2 nuts and drove the share price up lol but this is another storey lol,Money Duck 🤑,,1,0
21 hours ago,I bought the dip and it dipped more.. soon I will be eating instant ramen noodles for all my meals,Big Money,,20,6
21 hours ago,Last Wednesday was over 0.49 this Wednesday will be a dime cheaper CMC holders now,Trasher,,9,2
21 hours ago,lol 6 thumbs down in less than a minute... right......,Keaton,,5,11
21 hours ago,I'm building up a massive position here since we're given all the time we need ;) this is awesome,Keaton,,8,9
21 hours ago,This is a gift!,Carl,,0,0
21 hours ago,Maybe buy hmm a  🍋 I’m pretty good with a guitar,Money Duck 🤑,,3,1
21 hours ago,Is this company just a basic research firm, or do they actually have a product?,Ben,,5,3
22 hours ago,Was dat bottom ?,Money Duck 🤑,,0,1
22 hours ago,Down more then 10% now @0.40 and no end insight much more down coming this week,Money Duck 🤑,,0,1
22 hours ago,Buy in .20s :D,Preacher,,4,1
22 hours ago,Don drop the stock like cutting the grass. It’s almost bald.,Dajiba,,2,0
22 hours ago,No news and this will tumble already in negative  - 0.0400 (-8.89%) nice hair cut Don,Poison Patel,,1,0
22 hours ago,am loading more,Hijrat,,0,0
22 hours ago,.43 coming soon,samir p,,1,11
22 hours ago,like i said at .40 guys is the time to load up else stay away,Jon,,0,6
23 hours ago,0.030 by end of the week,💵💵💵,,0,0
23 hours ago,Guys I’m telling you… sell out now. It’s going back to the .30s. Buy in around .32 and be happy,Devon,,7,3
23 hours ago,Shareholders be like :,Small Caps = Early Retirement,,0,0
23 hours ago,The fizzle is gone some buys haha now drop time - Don says welcome to CMC.V,Kool Kat,,6,1
23 hours ago,The short pressure on purpose, but they lost position at super low price:),John,,0,0
23 hours ago,I might buy soon lol,Money Duck 🤑,,1,1
23 hours ago,Geez -0.0350 (-7.78%) just the beginning,Money Duck 🤑,,3,0
23 hours ago,Bomba up $2.18 this thing haha blame stinkbug lol it going to go lower ii warned ya alllllll,Money Duck 🤑,,0,0
23 hours ago,Sell before drops more,Poison Patel,,5,2
23 hours ago,SELL !!! Oink oink 🐽,Oink oink 🐽,,4,0
23 hours ago,Sell,Trasher,,4,0
23 hours ago,Talking bout bears wanting cheap shares. How bout penny flippers wanting you to over pay for shares is more like it.,Dc 918,,0,1
