PostDate,Content,Author,RelativeDate,Likes,Dislikes
15 hours ago,🎥 Webinar Recap: Replenish Nutrients (ERTH) w CEO Keith Driver and CTO Neil Wiens - Pitch, Deep Dive and Q&amp;A - https://www.youtube.com/watch?v=POS1FKhWgU4CEO&nbsp;Keith Driver and CTO Neil Wiens provide a deep dive, interview and audience Q&amp;A on the company's regenerative fertilizer solutions and it's recent $10 mln equity raise.,Brooklyn,,1,0
2 days ago,More good news for Earth/Replenish https://www.google.com/url?sa=t&amp;source=web&amp;rct=j&amp;url=https://www.marketscreener.com/amp/quote/stock/EARTHRENEW-INC-50340163/news/EarthRenew-New-Emission-Regulations-Could-Stunt-Farm-Production-41123930/&amp;ved=2ahUKEwjazZugsp75AhV_nWoFHWg7DAMQyM8BKAB6BAgKEAI&amp;usg=AOvVaw31ls1wHJ4qRXoOLURTzNQr,burton,,1,0
3 days ago,Anyone in Canada have input on Trudeau's war on fert?  I'm sure vvivf will still sell-out, especially if they increase usa exposure.,bills,,0,0
5 days ago,Why does their press releases say "not for release to U.S. news wire services......."?  Is this a standard disclaimer by other Canadian companies?,bills,,0,0
6 days ago,I cant get any reliable information on the earnings date?Maybe someone can help. Tahnks :),Damon,,0,0
13 days ago,Exciting weeks ahead. How Earthrenew/Replenish seems to fly under the radar is beyond me. Either way, this is one stock that so many will be wondering why theiy hadn't heard of it as its value grows,burton,,0,0
15 days ago,Webinar - Replenish Nutrients - formerly Earthrenew Inc. $ERTH w/ CEO Keith Driver and CTO Neil WiensWed, July 20 at 1pm ET / 10am PTQ&amp;A with Radius Research Register Here - https://us02web.zoom.us/webinar/register/9516579186783/WN_jrdDKKnURIK3KEWJwH7YkgMore,Brooklyn,,2,0
16 days ago,sellers dried up? congrats on who bought at these levels ;),Adrian,,2,0
18 days ago,Came across this  while reading the closing "The Company granted the Agents an option (the “Over-Allotment Option”) to sell up to an additional 15% of the Units sold under the Offering. The Over-Allotment Option may be exercised in whole or in part, to acquire Units at the Issue Price, or Unit Shares at a price of $0.198 per Unit Share or Unit Warrants at a price of $0.052 per Unit Warrant, as determined Agents upon written notice to the Company at any time up to 30 days following the closing date of the Offering."pp closed june 21 so I believe july 21 will be when this selling pressure stops ( aside from market chaos). so possibly some cheap papers causing this downward pressure. Just accumulate at a low price to get bang for buck. Cash makes up more then 50% of ERTH's market cap . People need to eat and our product sells out, so recession or not i don't see this slowing down at all.More,Adrian,,4,0
19 days ago,It is beyond perplexing why one would sell this stock at this price?!?!?,burton,,0,0
20 days ago,canadian governemnt wants to reduce nitrous oxide by 30% from fertilizer. Bearish for synthetic fert but bullish for regenerative fert!,Adrian,,3,1
23 days ago,It would be nice to get updates on fert expansion plans/status.  Not much news on electricity generation or plans for expansion in that market.  Unique method to possibly capture and utilize methane, unless it's not as ecologically advantageous as it sounds.,bills,,1,0
26 days ago,Fertilizer shortage concerns continue to mount. Earth/Replenish... great timing! Read more about this on cbc and VP Ont Federation of Agriculture,burton,,0,0
26 days ago,Any observations on today's move?  Every time you think this will move up, it slides lower.,bills,,0,0
27 days ago,How can people not be excited about this stock? The new investor slide deck on Replenish is beyond exciting! Here we go!!!!,burton,,1,1
27 days ago,Bought in at .1950,Sorry for causing the drop folks.,t,,1,1
27 days ago,Sewell Farm trial and results are very encouraging!,burton,,1,2
2 months ago,unusually high volume today.  Any thoughts out there?,bills,,0,0
2 months ago,I love this companies potential.  But....I think their method of thanking loyal investors by intentionally reducing their value by 20%?????  If they cared about their investors, they would offer them additional shares at a discount.  Again, disappointed in this management group. I hope they get bought out and management released.,bills,,2,0
2 months ago,Exciting company, has anyone heard of a planned raise this year? Seems like they don't have enough cash on hand, or cash flow, to support the growth.,Willing_Plastic,,1,1
2 months ago,This news today is huge.  $24 million in revenue this year and the potential for $125 million in 2 years!  Are you kidding?  I won't speculate but I imagine the market will move this much higher.,Peter,,2,2
2 months ago,with the increase in fert cost's and capacity, I hope the market realizes the value of this is much greater than .23#$%$ would b nice to have a positive surprise on the 18th.,bills,,0,0
3 months ago,Should I bother with this anymore,The Stink Bug,,1,0
3 months ago,Guys look at eac.v,Kobster,,0,1
3 months ago,Fertilizer prices are skyrocketing surly this must be a great time for earth-renew. Hoping to see the sp I the  40s this month.,stephen,,0,0
3 months ago,Is this worth holding anymore? Just up and down back and forth,The Stink Bug,,0,1
3 months ago,Is this the week to surpass 0.40?,burton,,2,0
3 months ago,It can launch and hit $2 soon,The Stink Bug,,1,2
3 months ago,What’s the plan for today,charlie,,1,1
3 months ago,Wow I’m up for the firs time in a long time bought in at 0.36  2 years ago, patience maybe about to pay of .,stephen,,0,0
3 months ago,It’s OVER!,The Stink Bug,,1,1
3 months ago,IT IS OFFICIAL WE HAVE REACHED A 52 WEEK HIGHT!,The Stink Bug,,1,1
3 months ago,Do you think this will hit $1????? Could we pull off an NPK?,The Stink Bug,,2,0
3 months ago,Let's goooooo,Tuna_Taster,,1,1
3 months ago,WHEN IT LAUNCHES, it launches baby! Massive absolutely massive!,The Stink Bug,,1,1
3 months ago,this company has no stock trading volume, seems its under the radar, i thinkthey will grow into a great company soon.,john,,0,0
3 months ago,What is happening here ??????,The Stink Bug,,1,1
4 months ago,record fertilizer prices are set to get worse!...over a dollar by May....NOBODY knows about this stock.,Craig,,2,1
4 months ago,IT'S OFFICIAL! WE ARE LAUNCHING! $1 SOON,The Stink Bug,,4,1
4 months ago,EarthRenew has pulled their application for development permit for the Strathmore manure baking facility at Cattleland Feedlot. The County &amp; Provincial Land Tribunal deadline for submission of baseline odor testing &amp; proposed odor control technologies was April 1, 2022. I'm still interested in the stock though - does this do anything to change things?,Andrea,,0,4
4 months ago,soon...fertilizer price, shortages hitting mainstream news media this springs growing season.,Craig,,0,0
4 months ago,When will we run,The Stink Bug,,0,0
4 months ago,right place right time...just look at what happened over at Verde agriculture 800% since summer.,Craig,,1,0
4 months ago,Can we just launch already,The Stink Bug,,0,0
4 months ago,The high demand in fertilizer prices should help boost this company into their next phase.,Moose,,0,0
4 months ago,This could go...years to wait... tell me I'm wrong,Dade,,2,6
5 months ago,boys i'm getting decimitated here,The Stink Bug,,0,0
5 months ago,COME ON!,The Stink Bug,,0,0
5 months ago,OUR WEEK!,The Stink Bug,,0,0
5 months ago,WE ARE FIGHTING FOR OUR LIVES HERE! $1 ALREADY!,The Stink Bug,,0,0
5 months ago,LETS GO BOYS!!!,The Stink Bug,,0,0
5 months ago,Everyone is talking about gas and oil prices rising because of the Russia/Ukraine war. But both Rusia and Ukraine are huge export countries for food and fertilizer as well. So the world is looking for alternatives and EarthRenewal could really benefit from this!,niels,,0,0
5 months ago,This could truly be it !,The Stink Bug,,2,0
5 months ago,The moment this launches it’ll be too late for the shorts!!!,The Stink Bug,,0,0
5 months ago,Nice jump,serioustoday,,1,1
5 months ago,Launch?!,The Stink Bug,,1,1
5 months ago,Let’s go!!!,The Stink Bug,,2,1
5 months ago,From Farm Week, a Illinois weekly publication:$1503/ton for Anhy Ammonia$890/ton urea$808/ton potashIllinois pricesGot to believe they're similar in CanadaWhat's not to like about VVIVF's alternative fertilizer?More,lawrence,,2,1
5 months ago,what do the boys think? could this hit $1???????,The Stink Bug,,4,1
5 months ago,Have an ERTHly day!,Adrian,,0,1
5 months ago,Let’s go,ananth,,0,1
5 months ago,Flying high today dose anyone have any updates.,stephen,,0,0
6 months ago,@serioustoday closest comparibles would be XBC and GRN and you will quickly see how undervalued this is from a p/s pov. Considering their expected growth rate and expected to have positive earnings on q4. XBC net income is atrocious yet their p/s remain above 3. GRN atleast reported neutral earnings last quarter and is trading at a p/s of 3.77. So I personally believe ERTH should atleast have a marketcap of 50m , bringing us above 0.5.If we share the same ps valuation as GRN, then 3.77*15.1= 57m marketcap , which means 0.6 is not out of the question in the near term. In addition our expected annual rev for next year is 24 m. assuming we share the same ps valuation as GRN the marketcap should bring this to 90m, we have the Bethune project to look forward to the year after that.More,Adrian,,2,4
6 months ago,Well done to everyone at earth renew seems like you are starting to make this dream a reality, great news over 15 mil in revenue that matches are market cap now we need to turn a profit so share holders get some rewards for their patience.,stephen,,6,0
6 months ago,What's your PT for 2022 and beyond?,Isaki Fujita,,0,0
6 months ago,Well, here we go!!! Extremely encouraging!,burton,,3,1
