PostDate,Content,Author,RelativeDate,Likes,Dislikes
12 minutes ago,What price should we see this stock in 3 months??,gino,12MinutesAgo,0,0
5 hours ago,Sheldon is a shark,Russell,5HoursAgo,0,0
9 hours ago,Is their financial situation anything to worry about?...everything is in the negative. Short term pain long term gain?,Russell,9HoursAgo,1,0
4 days ago,how nav report will refelect on share price ?,Winfield,4DaysAgo,0,1
5 days ago,Just used my ImagaineAR app to scan ThreeD capital's logo got a 60 second video of Sheldon explaining why he thinks IP is a 100X investment. https://threedcapital.com/,GBUCK$$,5DaysAgo,2,0
5 days ago,Bought on sale today and 4x my position. Banking on SI’s first rate picks,Allan,5DaysAgo,0,0
10 days ago,if anyone enlighten me how the current share price will change once reporting nav. I know the nav formula is total asset - total liabilities/outstanding shares. most of the idk holdings are doing great but why its not reflecting on idk sp ? how does it work . Thanks in advance,Winfield,10DaysAgo,0,0
11 days ago,Already closed a few other positions to double up on IDK at his week. Hoping to quadruple next week before NAV. Very bullish.,Allan,11DaysAgo,0,0
11 days ago,eh worth a shot at .75. SI got pinetree capital up to $700 a share 13 years ago before it fell apart, maybe he's got another one in him.,evan,11DaysAgo,2,0
14 days ago,This will hit $2 when they start reporting monthly NAV,Pino,14DaysAgo,4,0
14 days ago,Loving this run up ...maybe I’ll break even ...average is 2.84 (holder since 2016) ....watch out for Sheldon ...he’s a scam artist ...get in and get out with this one,Rachelle,14DaysAgo,0,2
14 days ago,Look at how many shares are held by insiders. The current price is a gift being granted to us. Insiders hold around 31% of the company. Party when NAV arrives sponsored by Sheldon's Picks.,POOPBALLSROLL,14DaysAgo,0,0
14 days ago,cup and handle formation confirmed.. very bullish future,JahMez,14DaysAgo,0,0
21 days ago,Sheldon has been adding shares of IPNFF to his disruptive technology ETF. He's buying the shares directly from the market. IDKFF holds many great companies in its portfolio. IDKFF bought Loopinsight very early on.,POOPBALLSROLL,21DaysAgo,8,0
21 days ago,finally jumped in at .69,Pino,21DaysAgo,0,0
22 days ago,A disruptive technology ETF like no other. It's like owning a micro stock market,POOPBALLSROLL,22DaysAgo,1,0
24 days ago,2021 The Year To Be All In. - Sheldon,POOPBALLSROLL,24DaysAgo,1,0
27 days ago,About 32% of IDKFF is held by Insiders. That's alot of confidence. They are swinging for the fences.,POOPBALLSROLL,27DaysAgo,1,0
28 days ago,Great ETF with a great future ahead due to the trustworty CEO: Sheldon Inwentash. With 30 years of experience in starting company's, this guy must know what he is doing. I'm in with 1000 @ $0.505. When it hits $1, I will buy much more. High Risk - High reward!,Ryan,28DaysAgo,7,0
last month,but .75 likely,Chefs261,LastMonth,0,0
last month,easy .65 this week,Chefs261,LastMonth,0,0
last month,is the news about showing profit is what moving this stock?,Marco,LastMonth,1,0
last month,OK, but this time, Here we goooo!,Willeed,LastMonth,1,0
last month,Volume is picking up! 😘,Johannes Finn,LastMonth,0,1
2 months ago,Am I late to the party?,Venkat,2MonthsAgo,1,1
2 months ago,Buy this Prize &amp; Win.,POOPBALLSROLL,2MonthsAgo,0,0
2 months ago,,Johannes Finn,2MonthsAgo,0,0
2 months ago,Ohhh boyyy here we goooo,paulspicks2020-Youtube,2MonthsAgo,0,0
2 months ago,Anyone know what the catalyst is for today’s movement?,Fitzie,2MonthsAgo,0,0
3 months ago,Eyes are opening.  Volume will start coming.   NAV is .41 Canadian.   As of June 30th.   It’s literally on sale right now.  The fund is hitting it’s stride and finding its footing and now has a slew of winners under it’s  belt.   Game on.,Scott P,3MonthsAgo,4,0
3 months ago,Easy buy here all,paulspicks2020-Youtube,3MonthsAgo,0,0
3 months ago,Maybe everyone is over at Dischord channel LOL,Cobra PILOT,3MonthsAgo,1,0
3 months ago,Why no post for 10 days should I stay away from this or buy,Cobra PILOT,3MonthsAgo,1,0
3 months ago,look at all the old messages. this company has a long history of disappointing it's shareholders,Gary D. LeCroy,3MonthsAgo,1,0
3 months ago,Lets Go!! Shelton Inwatesh, do your DD on him , this stock is going up!,mr,3MonthsAgo,0,0
3 months ago,I’ve emailed them about disclosing the NAV but haven’t heard anything back. They don’t have a dedicated IR. Think it’s the cfo that fields questions.,Fitzie,3MonthsAgo,0,0
3 months ago,BUY BUY BUY!,Insight,3MonthsAgo,10,0
3 months ago,For those considering this company, the more I learn about them the more bullish I am on this stock taking off, and bar chart showing this as a buy supported by recent uptick in share price.  Due your own DD, but why IDK?  It provides investors with significant exposure to ground floor opportunities in;	•	Small cap stocks in their very early stages;	•	Disruptive Technologies	•	Junior Resources…emphasis on precious metalsthat would otherwise be impossible for 99% of investors to participate in.&nbsp; Ares of their investments includes;	•	Esports	•	Renewable Technology	•	Blockchain	•	Artificial Intelligence	•	Internet of Things	•	Junior Resources 	•	NanotechnologyIt is in early stage investments in companies I can’t find myself nor have the time to research endlessly to locate, proven investors in the company look after the risk, and the value of that portfolio is expected to result in major share price growth of IDK.   I like the kinds of things they are investing in, and recently bought shares to go long with it.  Very bullish on this and expectations are high.More,Nobs,3MonthsAgo,0,0
3 months ago,We are rated a strong buy are barchart! Technicals look great for a run up this week!,Crypto,3MonthsAgo,0,0
3 months ago,This week is going to Be a blast! Strap in its game time!,Ben G,3MonthsAgo,14,0
3 months ago,Let’s goooooo,paulspicks2020-Youtube,3MonthsAgo,0,0
3 months ago,Anyone here?,Fitzie,3MonthsAgo,1,0
5 months ago,these guys are crooks always have always will be. They pump and dump th stock back to 2c. you've been warned. stay far away unless you want to lose your shirt.,Peter88,5MonthsAgo,3,2
5 months ago,Why is this going down?,Johannes Finn,5MonthsAgo,0,4
5 months ago,This train will be leaving this stop soon, I warned you at .10, warning you again, buy the dip because once this start rolling again it’ll find support above .50 and will never be back at this level.,Flack,5MonthsAgo,0,0
5 months ago,idkff. (I  don't know. #$%$ fakh),Guru,5MonthsAgo,2,0
5 months ago,Sold in am and rotated to IP.  Full disclosure.,Cale,5MonthsAgo,0,0
5 months ago,When they start releasing financials and update NAV’s this will climb exponentially! I’m already up 400% and this is going much much higher in the near future.,Flack,5MonthsAgo,4,3
5 months ago,Well, we’ll. Nice little surprise we have here. I wonder why? Hehehe....,Cale,5MonthsAgo,0,0
5 months ago,The stock reminds me of the good old CMGI back in the 2000s and in the late 90s. OK I’m exaggerating. A mini CMGI !,Cale,5MonthsAgo,1,1
6 months ago,biggest pump and dump scam out there,Peter88,6MonthsAgo,1,3
6 months ago,why this stock is moving up??,Winfield,6MonthsAgo,2,0
6 months ago,Anyone know when this stock opens?,joseph,6MonthsAgo,1,3
7 months ago,Another IDK holding on a tear just bought all of Iceland’s mineral rightshttps://twitter.com/villithor12/status/1278764912735670273?s=21,Flack,7MonthsAgo,0,0
7 months ago,https://twitter.com/jmart1299/status/1278682199269822464?s=21,Flack,7MonthsAgo,1,3
7 months ago,I see very poor sentiment toward SI, keep an eye on this, IDK?s investments are kicking #$%$ right now. This could run,Flack,7MonthsAgo,3,1
2 years ago,Dumped, out!,Parker,2YearsAgo,4,0
2 years ago,Hahahha,Parker,2YearsAgo,0,0
2 years ago,Word on the street is they're hiding and evading oversea's. One day they will catch them.,Jones,2YearsAgo,6,1
2 years ago,These crooks should be in Jail. Justice will be served when these thieves are behind bars.,Jones,2YearsAgo,2,1
2 years ago,Scam big time, stay away!,OO,2YearsAgo,5,1
2 years ago,No scam just a loser company,Parker,2YearsAgo,4,1
2 years ago,Why are people say this stock is a scam?,Kevin,2YearsAgo,4,1
2 years ago,Doooooo something,Kevin,2YearsAgo,0,2
3 years ago,On route to zero...,Jones,3YearsAgo,8,1
3 years ago,This stock has the perfect acronym.,Parker,3YearsAgo,1,1
3 years ago,it's only good if you have it for more than 5 years,Labeed,3YearsAgo,0,1
3 years ago,what the hell is wrong with this company,Labeed,3YearsAgo,0,0
3 years ago,when you use the right words in the right investing frenzy time, its surprising how many investors you can steal from. I sold with a lost 4 months ago,, ill check back this winter if there still in business,Dragonskull,3YearsAgo,0,0
3 years ago,Garbage stock, happy to leave it,Justin,3YearsAgo,0,0
3 years ago,My hard earned money down the drain.  Thanks to these crooks and scamers.,Peter88,3YearsAgo,3,0
3 years ago,Biggest scam I've ever seen. Criminals.,Jones,3YearsAgo,6,0
3 years ago,is there a chapter 11 here,Labeed,3YearsAgo,5,0
3 years ago,someone should put these crooks in jail.,Peter88,3YearsAgo,8,0
