PostDate,Content,Author,RelativeDate,Likes,Dislikes
1 hour ago,We need a financial report to move this thing (hopefully higher!), and it's been a while since we had one.   I saw that they used to produce them quaterly, but the last one produced was for the year 2019 (till end of jan 2020). Does anyone know about financial report requirements for venture companies?  I tried to look it up, only found the info for full TSX.,Lucky Luc,,0,0
2 days ago,has soo much good news apparently ther eare tons of partners collaborators tons of interest in hospitals in America, they have partnered with waterloo University research division..  tons of #$%$. YET THERE STUPID STOVK P4ICE HAS CONTINUED TO CONSISTENYL DECLINE !!where us the money????? where are all these sales 1.5 years later like #$%$. I better read an article soon about a class action so I'm down to join the line with the attorneys... like #$%$ there is some insider trading by Micheal or those execs going on ???,Ataullah,,0,0
3 days ago,worst stock ever. what a waste of time...,Avi,,2,0
4 days ago,Thermal Pass Update &amp; a Q1 Recap with CEO &amp; Director Michaelhttps://www.youtube.com/watch?v=DD52MtzFSZM,BullishTrader,,0,1
5 days ago,,Dylan,,2,0
9 days ago,Down down like a burning ring of fire.. glad i bailed. May re enter later when i think its worthy, wasted 6 months..,Travis1✔,,1,0
10 days ago,holding and going to get an amazing price when market pulls back to make bank in a year,Aaron,,0,0
11 days ago,CEO &amp; Director Mike Lende Dives Deep Into the Companies Futurehttps://www.youtube.com/watch?v=JcFTAwG87jw,BullishTrader,,0,0
12 days ago,Lol.....,H.,,1,0
12 days ago,Hey why are you guys wasting your time with temp screening? PMED.CN all the way!,Mr.Jack,,2,0
16 days ago,Lol, the last couple of PR's sound good and yet the price just keeps dropping?,Marc,,3,0
17 days ago,Waiting for another rs on Pai as soon as it hits 0.05 or is there a limit on how many reverse splits a company can do in a year?? Michael you owe me $$$.,Travis1✔,,2,0
18 days ago,CEO &amp; Director Michael Discusses Their Recent Partnership with Propel IThttps://www.youtube.com/watch?v=k9GEuJnMvxo,BullishTrader,,0,0
18 days ago,CEO &amp; Director Michael Dives into Their Recent Partnership with University of Waterloohttps://www.youtube.com/watch?v=kZO92Ct6Oxw,BullishTrader,,0,0
18 days ago,This stock is dead,,Avi,,1,0
19 days ago,So?,Buy/Sell,,0,0
19 days ago,Anyone know what’s going?  Is it halted??,Buy/Sell,,0,0
23 days ago,PAI is superior but sp is #$%$,rahul,,0,0
23 days ago,Pmed is #$%$,rahul,,0,0
27 days ago,tell us more about Pmed ahahhahhaha,Aaron,,1,0
last month,You guys selling and coming to Pmed???? It’s gone up 40 cents since i first posted about it lol,H.,,0,0
last month,Seems a deployment of PMED’s Covid screener is happening in Calgary AB soon... time to leave this stonk folks,H.,,0,4
2 months ago,so brutal....,Avi,,0,0
2 months ago,Bill Gates is your main competition now, Good luck,Donkey,,0,0
2 months ago,EVOLV is already being implemented by Big Gov and Companies alike.Why this pandemic was great for ol Bill.This tech makes ThermalPass look like a dinosaur.You just lost to Microsoft and BillyMore,Donkey,,0,0
2 months ago,Reuters) - Bill Gates-backed crowd safety technology provider Evolv Technology will go public through a merger with a blank-check company in a deal that values the equity of the combined company at around $1.7 billion, the companies said on Monday.The deal with NewHold Investment Corp will provide the merged entity with $470 million in proceeds, including a private investment of $300 million.Besides Microsoft Corp's co-founder Gates, Evolv is also backed by venture capital firm General Catalyst.The Waltham, Massachusetts-based firm uses AI technology and sensors to screen people in public spaces including stadiums, hospitals, schools and entertainment venues, eliminating security gaps presented by metal detectors, according to its website.More,Donkey,,0,0
2 months ago,It's coming...https://www.youtube.com/watch?v=a6Iwkr_zupM,Bob Purple,,0,0
2 months ago,Yes Michael Lende sold us wind! And no one will buy such an expensive fever detector with vaccine and pandemic under control! Price was too high and demand wasn't there. The only one who made real profit is Michael Lende...,Eric.co,,0,0
2 months ago,Glad I dumped half my shares last time it was up in the .20?s. What a load of #$%$ this has been. I?ll be dumping the rest on the next pump.,Mik,,3,0
2 months ago,Hey Michael!!Thinking it is time for some sales with Sisco now on board..,Travis1✔,,0,0
