PostDate,Content,Author,RelativeDate,Likes,Dislikes
4 hours ago,Wait til the Pinduoduo gets official news release now... $4 USD will come a lot sooner than most think,Derek,,5,0
4 hours ago,4th quarter profits will be amazing they anticipate this sow they are getting ready for Nasdaq listing when they hit 4 dollars I'm excited for the news coming next,Marco,,2,0
7 hours ago,https://twitter.com/thestreet/status/1353462719605841923?s=21  PDD expected to have a big year!,Anonymous,,1,0
7 hours ago,What I heard the Johnson Joseph say on Wall Street Reporter was that they intended to eventually list on Nasdaq.  He tended to down play the complexity and time required IMO.  One painful inflection point is that the stock would have to be trading over $4 for up listing to occur.  When I asked about a possible RS, Jack the moderator never addressed the question.  I don’t think up listing to Nasdaq is anywhere near happening by Q2.  A slow, organic increase in the share price will be necessary before this stock trades beyond the pink sheets  Moreover, it would be helpful if the company comes out with a clear earnings guidance for 21.More,james,,0,2
10 hours ago,$5 USD by end of February,Derek,,6,0
3 days ago,And all those robinhood investors come in as well oh boy i am ready to fly,Marco,,3,0
3 days ago,this will be incredible when included in us and asian markets will explode buying more today us market by late March or early April and some more news by the end of Q1,Marco,,5,2
3 days ago,Gotta take a stab at this thing.  Seems like all the pieces are coming together right now.,Dennis,,7,2
3 days ago,Between PKK and IDK 2021 is shaping up for 🚀 like returns 😘,Johannes Finn,,4,1
3 days ago,I missed the dip yesterday ,but not missing it today,money0811,,0,2
3 days ago,Looks like the price will climb through the day now. Most asking prices are 2.95cdn and up. Look like a strong base being built. GLTA,Eric,,5,3
3 days ago,So NASDAQ sometime before the end of Q1? when is the end of Q1 and what is a realistic jump in share price when this happens?,Anthony,,0,2
3 days ago,Advice: If you want in, buy now,,Andrew,,12,1
3 days ago,Watch out!! Willy is after your shares!!,Willy,,9,0
3 days ago,JJ confirmed that we fulfilled the last requirement for the NASDAQ listing, which was $2 USD. This is like taking candy from a baby. FREE MONEY FOR EVERYONE :) (that buys before NASDAQ hehe),Tony,,12,4
4 days ago,JJ never lies. Whatever he says, he delivers! He just said there will be another epic announcement before the end of Q1. I am getting ready for it.,waynec,,16,1
4 days ago,I just can't wait for Nasdaq! Going to be mind boggling!,Johnny,,9,0
4 days ago,$4 USD by Monday,Derek,,8,0
4 days ago,i can’t even begin to synthesize how big this company willbe in 5 yrs. massive. long and strong,Greg,,13,3
4 days ago,Not to put a damper on the party we are all part of here, but does anyone know why this shot up in March of 2017 and then tanked for quite a while after?,HJB,,0,1
4 days ago,Yeah that was an epic interview. Man that guy is smart.,Trev,,18,0
4 days ago,big news coming in Q1.... hints in the interview "will add a new dimension.,dan,,12,2
4 days ago,From the DISCORD, do you own math:"With a fully diluted share count of 150 million, peaks market cap would need to be $15 billion to achieve a $100 share price. Which means that using a modest 10x earnings multiple, Peak would need to be generating $1.5 billion in revenue.Their Q3 earnings per business average with 30,000 businesses and $15 mil in revenue was $500/business. Peak now has around 6 million businesses with access to their lending hub. A 200x increase in potential clients.If Peak maintains their Q3 earnings per business average of $500/business, which actually doesn't seem far fetched, they would be generating $3 billion in revenue. And that number doesn't include data revenue, the social media influencers, or any future deals that have yet to be announced."More,Doug,,24,4
4 days ago,just added, now 30k share...started 5k...what a ride this is...holding long!,Haw,,17,3
4 days ago,Closing above 3.50 today?,Enthusiastic,,6,0
4 days ago,JJ said that he full expects to be on Nas end of March early april,Richard,,14,4
4 days ago,Is the WSR interview finish? Any takeaway?,Rod Mac,,0,0
4 days ago,I know a couple people in IRL that are like some of the profit taking folks who to this day is kicking themselves because they sold some stock too early and thought they made profit.. 😂,Haw,,3,0
4 days ago,what a roller coaster,manny,,0,0
4 days ago,I hope you guys bought the dip at around $2.20's 😂...,Haw,,5,0
4 days ago,Over 50 people waiting already for the live presentation!https://youtu.be/nH23AtO6f44,Juan,,6,1
4 days ago,Closing above 3.50 ?,Enthusiastic,,7,0
4 days ago,Hopefully everyone has noted the delay in the price quote here on Yahoo.  Price is currently trending back up and sitting at 2.32 right now as opposed to the 2.28 showing on Yahoo. Just FYI.,Angie,,2,0
4 days ago,Relax guys, good stocks can’t go up in a straight line, we all know uplisting is coming, any pullbacks should be seen as a chance to add before a guaranteed event, JMHO 🤷‍♂️,Tony,,5,0
4 days ago,Today is showing some healthy consolidation around 2.25 (USD) after an insane run up the past two days. Not a bad thing at all. Onward and upward!,Angie,,4,0
4 days ago,people taking profit probably didn't read the latest news post on here.  "Our ability to control the timing of when accounts are credited and debited puts us in position to offer a number of value-added services, such as escrow services, for which demand is particularly high among supply-chain clients where having the ability to inspect goods prior to funds being released, or ensuring that payment has been made prior to goods being shipped, can be extremely valuable. Once again, I can’t say enough about our executive team in China, led by Liang Qiu, for what they have accomplished with this agreement. Today is a truly memorable day for all Peak stakeholders.”More,Haw,,9,4
4 days ago,What’s everyone’s greatest fear with this company. Reading a lot of positive but it’s always nice to hear some things that may scare you. Just bought another 2200 shares.,Trev,,2,2
4 days ago,thanks for the dip!,Haw,,4,0
4 days ago,Anyone think we’re due to see a correction in the price? Love the company but I hope I didn’t get in too late at $2.78.,Joshua,,2,0
4 days ago,2% Correction after a 65 % run-up, thank you !,M,,3,0
4 days ago,And there she rest from 2.79-3.20 area today and onwards ..... wont do a hard run till more news from CEO.......and this company loves giving new news...... lets all just wait for itNASDAQ end Q1 will be a huge run ..... and new news will be another..... and revenue growth will be another run.... 5 bucks day it hits nasdaqMore,dan,,3,1
4 days ago,Gonna get bumpy from here until nasdaq. If your good enough to buy on the dips that’s great! If your not (like me) just enjoy the ride,Richard,,2,0
4 days ago,Anyone that's selling now,  does not understand this company,waynec,,4,0
4 days ago,This is going to run like crazy after ther live presentation today!,Juan,,3,0
4 days ago,Crossing 3.50 today? What do you think?,Enthusiastic,,2,0
4 days ago,Who ever is actually concerned. Day trading and profit taking with healthy consolidation. This is normal. Get out if you can’t handle the market. Also. Look at the volume. It’s absolutely massive,Richard,,5,1
4 days ago,#$%$ down while PKKFF is up.  Strange...,HUY,,2,0
4 days ago,Adding.,Sven Erik,,6,0
4 days ago,It is just a profit taking for short term and a chance to add up.. I added 1000 dhares,Enthusiastic,,5,0
4 days ago,whoever is selling, yall are disappointing,Jerushan,,4,0
4 days ago,House of cards,Mad Mardigan,,1,2
4 days ago,She is not stopping !,M,,2,0
4 days ago,I said it all along this is the Queen of all Gems!!,Willy,,4,0
4 days ago,Crossing 3.50 today,Enthusiastic,,3,0
4 days ago,Just came across the company and find it really interesting what they are doing!Anoyone with insights on the insider ownership? Yahoo states &lt;5% which would be a red flag for me...,S8,,3,1
4 days ago,I hear the CEO is doing a livestream today at 12:30 pm EST. Someone got a link to post?,Adam,,3,1
4 days ago,Just heared about this stock. I'll be IN in 59 minutes! Let's have a good one everyone!,Youri,,3,1
4 days ago,This going well north of $3cdn today :),Eric,,3,0
5 days ago,There is so much I want to learn about this company with so little time.,Dan,,1,0
5 days ago,$4 by end of January,Derek,,10,0
5 days ago,That's a beautiful chart for the day. No wild swings, good volume, and steady climb all day after the big opening bump.,Adam,,15,3
5 days ago,,Anonymous,,9,0
5 days ago,lol just wait till Nasdaq...easily scalable in different countries as well,George,,17,4
5 days ago,here we go guys, let's touch $3 before closing.,Rod Mac,,4,1
5 days ago,So glad I bought back in at 1.65-1.75 3 times after my initial buy, seemed like such a cheap price and it was,M,,11,0
5 days ago,I'm not used to tripling my money in a month ..feels good!,Scott,,11,1
5 days ago,Fellas Peak Fintech Group is in the hottest sector and only just beggining to make a run. This stock has fair value placed at $4.30 USD based on October Q3 numbers. The company has picked up huge deals since then and is about to apply for NASDAQ listing. This will be $5.00 USD by March. What a great stock. I added to my position today.,L,,8,1
5 days ago,The ask prices and the bids just not lining up. If you want in now you have to pay up. Here comes power hour! I see over $3 cdn by end of day.,Eric,,4,0
5 days ago,Good article on Seeking Alpha for your DD. https://seekingalpha.com/article/4399939-things-are-just-beginning-peak-fintech?mail_subject=pkkff-things-are-just-beginning-at-peak-fintech&amp;utm_campaign=rta-stock-article&amp;utm_content=link-0&amp;utm_medium=email&amp;utm_source=seeking_alpha,Serge,,3,0
5 days ago,Ive seen trends like this, possible spike near last hour.  Also, this is a healthy climb!,Haw,,11,0
5 days ago,Closing above $3 today ...,Enthusiastic,,8,0
5 days ago,why can't I buy this stock from my TD app? anyone know?,Moe,,2,1
5 days ago,May it touch 3 in Power Hour 🙏,M,,5,0
5 days ago,Push it to $2.30 usd,money0811,,2,0
5 days ago,I say $5 by EOM or early Feb no doubt.  Listing Q1 guarantee!,Haw,,9,0
5 days ago,bought 400 shares today at a price point of $2.79 do you guys think I overpaid gonna look to buy the dips if there is any. Whats your thoughts on my entry point and what are your predictions short-term.,michael,,5,1
5 days ago,you guys think this will dip?,Moe,,0,1
5 days ago,Imagine when we get a day with 50M volume instead of 1M.... hahah... hold for long guys !,Alex,,8,0
5 days ago,Just learned about PKK recently and started 10,000 share position today.  I see this stock hitting $10 this year.,HUY,,13,2
5 days ago,Good volume. Getting traction.,Serge,,7,0
5 days ago,Picked up more today! Will keep accumulating.,Marie,,7,0
5 days ago,Time to bust through $2.25 usd,money0811,,5,0
5 days ago,At the rate that we are going, 10x in sight,Tony,,6,0
5 days ago,@MO MONEY I hope you sold last week with all of your doubts!,Andrew,,4,0
5 days ago,Also, what's with the 15 minute delay on Yahoo? Is this because it's OTC? First stock in my watchlist with this delay.,Angie,,1,1
5 days ago,I'm a new shareholder... just got in this morning. Question about the potential uplisting. I've never owned shares through an uplisting before. Will these PKKFF shares automatically be converted to shares listed on NASDAQ? I bought through my broker Schwab if that makes a difference. Also, what's the difference between PKKFF and PKK.CN if anything?,Angie,,3,2
5 days ago,Will we see $3 today??😱,Joshua,,6,0
5 days ago,Just wait for the Nasdaq listing! Look at Upstart and Affirm IPOs, then imagine Peak! Glad I am on this bullet train!,Johnny,,2,0
5 days ago,Maaaan!!! Awesome! Will we hit 3 today already? Way faster than I expected.,Johnny,,4,0
5 days ago,ITS FINALLY HAPPENING! $2 🥳🥳,Austin,,3,0
5 days ago,Can we see 3$ today ?,M,,5,0
5 days ago,sitting on gold mine,latonya,,5,0
5 days ago,Why is the share price not updated for today? Yahoo is still showing me yesterday's closing price.,Angie,,3,2
5 days ago,She has no intention of stopping !! Ride the wave or miss your chance,M,,3,0
5 days ago,Any good news?,Mees,,2,0
5 days ago,Hey everyone,  You may be interested in watching this interview.  Great things happening.https://youtu.be/MI4kN1yPDGc,Alejandro,,3,0
6 days ago,blow off top sorry,Jim,,2,0
6 days ago,What do you see this stock go up to in the next 3 months,gino,,2,0
6 days ago,$4 by end of January,Derek,,4,0
6 days ago,Buying this stock on PKKFF and seeing comments in CAD is so confusing 😂,Matt,,6,0
6 days ago,Great day, more great days to come....GLTA,Cdn Eastwood,,7,0
6 days ago,I am loving this stock.   I bought in 300,000 shares 45 days ago at an avg. $0.81 who, Dancing like the guys from Latonya,Alejandro,,11,1
6 days ago,Been keeping an eye on peak for a while now. Kicking myself for not buying in at around 1.70. Should I expect a trend reversal soon, or buy in now?,Joshua,,2,0
6 days ago,tell ya mama... tell ya sista!!!!! tell er'body!!!!!! $PKKFF is about to change people's lives,latonya,,5,0
6 days ago,Pure gold!! Some sort of a hybrid PayPal!! 100 cad within 5 years!! And I own it!!,Willy,,8,1
6 days ago,#100bagger,Anonymous,,10,0
6 days ago,Got in late at 500 shares at 2.48 let’s see I guess buddy recommended this one,Trev,,4,0
6 days ago,finally got up here and still so much more growing to do still undervalued,George,,7,0
6 days ago,She doesn't stop,M,,2,0
6 days ago,I got in at $1.47 and thought I was to late,money0811,,5,0
6 days ago,ATH baby!,Tony,,2,0
6 days ago,Fellas the stock was down for a while because warrant holders were selling their shares. The overhang is very small now. With all the good news coming the share price will be going to $5.00 USD by March. Get in now while its so undervalued. Do a little DD on the discord channel and youll see this is the 1st inning of the game here.,L,,7,0
6 days ago,Just bought this stock. Was waiting for a dip but I feel I would regret it and watch this soar before my eyes.,Prayash,,3,0
6 days ago,Nice steady climb. That's perfect. No pumping &amp; dumping here. This one is a keeper. Wait when they come out with the 2021 guidance... Then it will make a big jump.,Serge,,8,0
6 days ago,Go baby Go,Ryan1,,3,0
6 days ago,if you think this is expensive, wait until it's $10+,Haw,,7,0
6 days ago,Tomorrow I’ll be wishing I bought more today... and the cycle will continue. Advice buy now!,Eric,,4,0
6 days ago,SENS.CN should be closing the RTO with EmersonGrow in the near term. Don't miss out on this easy 10bagger,PaulsPump&amp;Dumps 2020,,0,7
6 days ago,i bought at 1.75$...the only problem as always I didn't buy enough :(,Owais,,6,0
6 days ago,Tomorrow an other green day..✌️,Enthusiastic,,7,0
6 days ago,$2.25 is going to look some cheap in a year or two,Andrew,,11,0
6 days ago,Up when btc down and down when btc up,jake,,1,0
6 days ago,Screw it im buying now and I’ll buy every dip afterwards,Yo,,10,0
