PostDate,Content,Author,RelativeDate,Likes,Dislikes
yesterday,""I think we will see a flurry of retail bankruptcies likely in the first quarter of 2023" Mark Cohen, former longtime CEO of Sear Canada and current Columbia University professor of retail studies, warned on Yahoo Finance Live "reitmans will be part of that. be smart and dont hold the bag! cut loss,Roxy,,0,0
6 days ago,12 share volume in intire day LOOOOOOL do you need more proof this compagnie is DYING. dont be stuck holding the bag. markets our recovering go buy something with value like ATZ,Roxy,,0,0
9 days ago,This just in….We back baby!,JohnCENA,,4,3
9 days ago,Hey Dudes,  I'm sure the numbers for the 2nd quarter are more or less in.  It's gearing up to be good news, yes?,Sealy,,0,4
20 days ago,go see Aritzia for what real earning report looks like! Will be 50$ in no time and $100 in 5 year or less. Time to dump reitmans and go to the winner aritzia!,Roxy,,2,1
28 days ago,From 0.45 up to 2.13 then go down to 0.79 in a year,Andy,,0,0
last month,Question for the board? Why does US fx affect ret.a results. Do they have US debt? Or US cash holdings? Or operations? Much appreciated?☮️,Richard,,0,0
last month,0.50$ soon. no use holding this dying compagnie anymore,Roxy,,0,0
last month,What am I missing? EV 50mm, LTM EBITDA 108mm, trades at 0.5x multiple? Ok let’s be more conservative and just annualize last Q 9.9mm (slow season) - run rate 40mm EBITDA company trading around 1x? There is some nonsense conversation that this company did not generate cash last year - please explain how they have 40mm cash balance - higher than in January 2021, inventory is up - meaning they actually put more cash to work - and all this after paying 95mm in cash in bankruptcy and no debt increase - did they get that cash from air or they actually generated 115mm cash from operations last year which then was mostly used to make that 95mm payment. So this is cash printing machine, wake up people. Current inventory 137mm - even after huge discount still enough to cover market cap in liquidation plus current cash. Almost 100mm of other liabilities eliminated. I don’t have to believe in 100mm EBITDA run rate, just use last quarter- 9 mm cash generation from operations plus 9mm from working capital return - all this vs 50mm market cap…please poke holesMore,Al,,1,1
last month,Q1 results are out and are quite solid - best Q1 in 9 years.  Expecting a strong bounce tomorrow.  GLTA,Derek,,7,2
last month,Is RET releasing their quarterly report tomorrow  ?,Deadly,,2,0
last month,under 1$ just like i say. it will keep drop. DONT HOLD THE BAG,Roxy,,2,4
2 months ago,Set my sell for when it gets back to $27 a share. If it doesn't make it during my lifetime, it's up to the executors of my will to figure out what to do with these shares.,LeMAY,,0,0
2 months ago,why the sudden drop ? any guesses ?,Deadly,,2,0
2 months ago,Nordstrom is Reitmans for people with less sophistication.,LeMAY,,0,0
2 months ago,Huge volume today! Nice 214 shares changing hands!,JohnCENA,,5,0
2 months ago,couple things here: on a TTM basis, this company is not as cheap as you think given the competitive pressures that it’s facing from e-commerce and other brick n mortar brands (just look at deterioration of gross margins over the past decade). It produced ~7.7mil CAD in “normalized” FCF in 2021 - normalized in quotes if you back out the one-off 114mil CAD paid towards liabilities subject to compromise. Other than (1) change in capital allocation - return of dividends or (2) improvement of operating cost structure, what about the future of this company excites you at current levels? I hear a lot of “re-list to TSX” takes and that sounds to me like bet on a beauty contest. What about the company then will make investors on TSX excited to pile in?More,Dina Cece,,4,0
3 months ago,Thank you for answering my earlier question about insider share holders.Now I got another question, why is the daily trading volume so low ? I just checked and a grand total of 35 shares were traded. Thirty -five whole shares. Not even 350, or 3500 or 35K.,Deadly,,1,0
3 months ago,Hi everyone, I'm new here. I see no insider holders for this company. Am I correct ?,Deadly,,1,0
3 months ago,Fingers crossed for a good Artitzia earnings. Could benefit from it and will show us what we could expect,JohnCENA,,0,0
3 months ago,Holding for a few years. Will sell once it’s $5/share,tcal0522,,3,1
3 months ago,I guess you wont buy Nike, Lululemon and Michael Kors,Richard,,0,0
3 months ago,RET will be back below 1$ soon. Why do fellow canadiens support a compagnie that produces its cloths in asia sweatshops???? SHAME,Roxy,,0,0
3 months ago,so much manipulation going on these past weeks...truly thought we'd be on the up and up by now,Shayne,,0,0
3 months ago,180M shareholder equity on last quarterly reportCurrent market cap 70MVolume is lowWe need a catalyst (TSX uplisting, dividend re-instatement in next quarters) and surely this should trade at 3-5$More,Daniel,,2,1
3 months ago,If I had 75 Million $, I would Buy all Reitmans,Martin,,2,1
3 months ago,It's going to be a wonderful decade for Reitmans. Buying dips 🚀 🌙,LeMAY,,0,0
3 months ago,Got another 1000 shares at 1.37 today,JohnCENA,,3,2
3 months ago,Hi all, I jumped in today at a couple of points that the stock kept dipping.  Current valuation was just too attractive to pass up!,Derek,,5,2
3 months ago,P/E ratio of 0.5. EPS is higher than the stock price currently. What is not to like here,JohnCENA,,9,1
3 months ago,My opinion; A major Shareolder (Anonymous) has been selling about 50 - 60 000 shares per day since February. Once he end that, share price will go to a much higher price.,Martin,,0,2
3 months ago,,Martin,,3,2
3 months ago,Bought 2000 shares at 1.60. Was watching this for a while. Thought I missed my chance this morning. Not going to happen again. If it drops below 1.50 I will add 1000-1500 more.,JohnCENA,,1,2
3 months ago,,Martin,,0,1
3 months ago,50% increase in net profit. Market cap is only $70M that’s less then pure profit.This will be headed back to $5 And my nest eggMore,tcal0522,,0,0
3 months ago,Numbers are on-line,Alex,,3,1
3 months ago,What’s up ?,Martin,,4,0
3 months ago,Let’s go!!,tcal0522,,0,0
3 months ago,Does any one know if the numbers are before the opening or after the close tx ☮️,Richard,,0,0
3 months ago,This should be at $3 dollars after earnings tommorow,tcal0522,,0,0
3 months ago,is it haulted ?,Tayler,,0,1
3 months ago,P/E = 1,5....,Martin,,0,0
4 months ago,When is earnings?,JohnCENA,,2,0
