PostDate,Content,Author,RelativeDate,Likes,Dislikes
1 hour ago,News before fins seems unlikely now. Would not be surprised to see some heavy loading up going on feb first right before reporting. Until then: sideways.,Steven,,0,0
2 days ago,🤬I have to be Honest.... this Company Silence SUCKS !!!anyone that knows me, is aware Im usually a 1/2 full glass type of guy but TKX is really testing my patience. Give us a damn update !!!,Crusader,,1,0
7 days ago,So basically, since the creation of their twitter account, there was a tweet every 2 or 3 days. Since December 20th: nothing! Could there be a black out period for merger/acquisition? I’m not all that worried by the current pps but this silence is deafening!,Steven,,1,0
8 days ago,So what happen to our saviour Kirk Ball ??,Rick,,0,0
8 days ago,Anyone still alive here? This volume yesterday was ridiculous!,Andrew,,1,0
23 days ago,Market cap now us$4 mill.Something is apparently terribly wrong with his filth.,Peter,,2,2
29 days ago,The garbage now has a market cap of less than $ us 5 Mill.,Peter,,3,2
last month,Just getting crushed on low volume, all it takes is a small amount of selling and the sp dips,West,,1,0
last month,Kirk Ball - ex-CTO of Kroger can make this turnaround. I am loading for long term. This will rock as I have high hopes on Kirk,AMIT,,6,1
2 months ago,We need more volume!!,Rick,,0,0
2 months ago,better buy shiba inu cheaper and better returns that this junk,VICKY,,1,4
2 months ago,Insane, I just loaded 500K at .06. This is a no brainer long term hold.,West,,3,0
2 months ago,October 19th seems so long ago, hurry up and wait.,Rick,,0,0
2 months ago,http://7001134.hs-sites.com/trackx-investor-update-november-2021?ecid=ACsprvsy6C1ivScztOJsUMiDTWAbxZi7ou_HcKiujy9C7gWYABRHeuVs6rE36KDhU7MzfEKFOhlb&amp;utm_source=hs_email&amp;utm_medium=email&amp;utm_content=181648522&amp;_hsenc=p2ANqtz-_XNFL3yP7GluNXknXj2QovOSLeVV-llaI_owibTaGSCBurYDHRxU2LmaB6mpLgaWOtE8qnr18UDMGkyo3-xphBngoDtQ,Steven,,2,2
2 months ago,So what has happened since this video of two years ago ??https://youtu.be/qS9TcWLWpa8,Peter,,2,1
2 months ago,Somebody show me one single other company with a market cap of us$ 7.6 mill. .... ?,Peter,,1,1
