PostDate,Content,Author,RelativeDate,Likes,Dislikes
18 hours ago,it seems likely Q1 distribution will include a per share deduction of about $6.50 for the payment of the $65 M note - assuming the tax credit does NOT come thru in Q1, but does come through in Q2, then the Q2 distribution will benefit from max volume sales, plus no interest payment, plus perhaps tax credit. so Q2 is shaping up to be a really substantial distribution which will probably draw a lot of attention to UAN - looks like adding to my already outsized position after Q1 distribution makes a lot of sense.    Thoughts fellow shareholders?,tony,,0,0
2 days ago,Skyrocket Fertilizer Spending by StateNine States Spent More Than $1 Billion on Fertilizer in 20203/17/2022 | 5:00 AM CDT￼By&nbsp; Katie Micik Dehlinger , Farm Business EditorAddThis Sharing ButtonsShare to FacebookShare to TwitterShare to EmailShare to More￼Nine states spent more than $1 billion on fertilizer in 2020, according to USDA data. (DTN graphic)MT. JULIET, Tenn. (DTN) -- In 2020, corn growers with high-productivity ground in central Illinois spent about $143 per acre on fertilizer, according to crop budgets from the University of Illinois. Forecasts for 2022 climbed to $230 per acre.But actual expenditures could be higher. When the Farmdoc team made their estimates in December, they argued that many farmers booked their needs before anhydrous prices topped $1,000 per ton. They also estimated farmers would likely reduce application rates to control costs and factored in the chance prices could come down by planting season.But with drought in South America and the war in Ukraine pushing the National Corn Index, a measure of spot cash prices at grain elevators, to more than $7 per bushel and December corn futures to more than $6.25 per bushels, farmers will be motivated to grow as many bushels as possible.Global supply issues have also continued to push the price of fertilizers higher. According to DTN's weekly survey of fertilizer retailers, the average retail price of anhydrous ammonia for the second week of March 2022 was $1,490 per ton. Two years ago, farmers paid an average of $490 per ton. You can read more here: https://www.dtnpf.com/….USDA collects survey data on how much money farmers spend on fertilizer each year, aggregated to the state level. USDA is currently surveying farmers on their 2021 expenses, so the most recent data available is for 2020. It found that U.S. farmers spent $24.4 billion on fertilizer, lime and soil conditioner, about $1.1 million more than the previous year.Given the state of current retail prices, it's fair to assume the amount farmers spend on fertilizer in 2022 will skyrocket. But, historically, the states that spend the most on fertilizer haven't changed very much. In fact, the five states that spend the most on fertilizer have been in the same order for the past five years.More,richard,,4,0
2 days ago,if the next 2 distributions are in the $15  + $ 15 range as we expect, stock should be $200 + Hopefully the carbon tax credit due soon will offset the cash used to retire the 9 % note.    I'm staying long until after August distributions.,tony,,4,0
3 days ago,Great run up last 2 days. Maybe the word is getting out about this stock. Despite the recent run up this stock is still undervalued especially in light of the expected distribution rate for this year.,Andrew55,,0,0
3 days ago,If the imports from China and Russia impacted for fertilizers then UAN is much better shape in demand and supply for North America,SamDs,,5,0
3 days ago,how do we account for large run up in the stock the last 2 days?  Any thoughts?,tony,,0,0
3 days ago,UAN is up 5.72% to 120.61,Yahoo Finance Insights,,1,0
3 days ago,UAN reached a 52 Week high at 119.50,Yahoo Finance Insights,,2,0
4 days ago,very strange trading activity in UAN - on light trading days stock floats higher by a few points, on heavy volume trading days the price seems pushed down. Tomorrow is options expiration day - will be interesting to see what happens Friday and next week,tony,,1,0
4 days ago,What a great UP day! can we get another 8 points tomorrow?? That would make my week!,dave169,,4,0
4 days ago,Canadia’s Nutrien Ltd. said Wednesday it would boost potash production by about one million metric tons in 2022 to a total of 15 million tons, with most of the additional volume coming in the second half of the year.That may not be nearly enough to meet demand. Sanctions on major producers means there could be a shortage. Second-ranked producer Russia may face sanctions due to its invasion of Ukraine, while third-ranked Belarus has already been cut off from global markets. That leaves Canada scrambling to supply agriculture powerhouses like Brazil, the biggest importer. The northern nation already supplies nearly all of the potash used in the U.S.“Nutrien’s move to add one million metric tons of capacity, while sorely needed by the market, does not come close to fixing the supply gap if both Russia and Belarus are sanctioned out of the global potash trade,” said Alexis Maxwell, an analyst for Bloomberg’s Green Markets.Russia and Belarus together supply about 42% of the $35 billion global potash trade, or some 24 million metric tons annually, Maxwell said.More,richard,,5,0
4 days ago,Good day to be a #FertBro 100 percent in UAN One stock portfolio,jim,,4,1
4 days ago,UAN is up 5.35% to 111.35,Yahoo Finance Insights,,1,0
