PostDate,Content,Author,RelativeDate,Likes,Dislikes
yesterday,If market capitalization is 1.1 bn and cash is 2.2 bn, why do other  companies not try to buy it? If share price is half of the cash per share, people should jump into this like brown bears to a honey pot!,Sven,,0,0
4 days ago,Veon survive covid  and war. A very solid company!,ame,,0,0
8 days ago,Looks like a good to stock to invest in,Bobby,,6,1
11 days ago,For those of you who like severely undervalued stocks, check out $VEON. According to Benzinga, it has $2 Billion in cash and assets, and earned $183 million this past quarter. PE is 2.4, stock price about 50 cents, market cap of $821 million. It is almost as frustrating as GLBS.,Roger47,,0,0
16 days ago,With Algerian sale announced today, seems to me that they are holding cash equal to $1.77 a share…..,Michael New York,,0,0
17 days ago,they have tons of money! and the share price remains extremely low! there will come a time when everyone will realize that the price should actually be 2 to 3 dollars!,Richirich,,0,0
17 days ago,This should be up a dollar,A,,4,0
17 days ago,VEON CEO on Russia business: Telecommunication is an 'essential humanitarian service'https://twitter.com/aktienboersen/status/1555154995007438848,Mana,,0,0
18 days ago,VEON will be the Hit next Month 👌🏼👌🏼👌🏼,Mohammed,,0,0
18 days ago,HKD like it will be as soon as possible,Essam,,1,1
18 days ago,Expect a rally tomorrow,ikram,,0,0
19 days ago,This Company Nets tons of dough, whats the Issue?,GOLD_007,,0,0
22 days ago,Any talk of a RS with Veon?,Dom,,0,1
last month,If you have shares, you should definitely hold them! in 6 months it will surely be over 1 dollar. veon has an incredible amount of money and the price is absord low!,Richirich,,10,1
last month,Don’t think so. Sanctions limit purchasing appetite. This company should not be valued at this price but there is nothing to do at this stage. Many brokerage firms allows selling the shares but buying.More,Anonymous,,0,0
last month,this is da rocket to the moon!,Alex,,4,1
last month,It’s nice to see you buying veon with me,sergei,,0,0
last month,V “on” in Ukraine all over -did you buy ?-I don’t care,sergei,,0,0
last month,Veon is a multinational telecommunication brand operates in  9 markets include Algeria, Bangladesh, Georgia, Kazakhstan. Krygyzstan, Pakistan, Russia, Ukraine and Uzbekistan. Russia and Ukraine are one of the prime markets; but it will not impact completely on the companies growth. And the affected market will recover in future as well. Buying this stock now is a real gift and a very better investment for a bright future.,Ton,,4,1
last month,Is nasdaq going to delist them?  Or is there some special consideration for the war?,Scott,,0,4
last month,This will skyrocket very soon..$1+...,Ton,,6,0
2 months ago,This stock will go up 500%, but only if Russian operations are sold.,georgi,,0,5
2 months ago,Meeting was hours ago - no action. I'm selling...,SheTriedIt,,3,1
2 months ago,I hope it doesn't pop tomorrow. I need to buy some for my IRA -- funds haven't cleared yet.,Optimus Prime,,2,1
2 months ago,WELL DONE!Commenting on results, Kaan Terzioglu said:"The 1Q22 financial statements published today further reinforce VEON Group's strong underlying performance driven by the successful implementation of our digital operator strategy across all our geographies, where we continue to deliver vital connectivity and digital services. Net profit before impairments rose by 168% YoY, while cash from operating activities of USD 565 million demonstrates the high resilience of our business even in difficult times. Our 1Q22 results, together with our strong performance in April and May, show VEON's ongoing and effective operational and financial discipline, as well as the progress we continue to make delivering on our strategy."1Q22 Financial StatementsFollowing the 1Q22 trading update on 28 April 2022, VEON today reports the unaudited interim condensed consolidated financial statements for 1Q22. VEON posted a 1Q22 net loss of USD 97 million, while the Group's net profit before impairments rose 168% YoY to USD 375 million. Cash from operating activities in 1Q22 was USD 565 million, versus USD 596 million in 1Q21, highlighting continued strong cashflow generation across the operations.More,David,,0,0
2 months ago,Tomorrow is AGM. Do you think there will be any nice surprise? The updated results for Q1 were a nice read to start from!,Sven,,2,0
2 months ago,After the war - the United States most likely fund internet infrastructure rebuilding in Ukraine.  They pretend to have lots of money and enjoy taking it from their citizens,Scott,,8,3
2 months ago,Any chance we will see a dividend this year?,Sven,,0,3
2 months ago,Try dumping all Russian stocks that have the blood of Ukraine on them? Попробуйте сбросить все российские запасы, на которых кровь Украины?,Concerned For Ukrainians,,3,7
2 months ago,An excerpt from CEO, Mr. Muhterem Kaan Terziogh'sletter to investors:💠 Approximately USD 2.4 billion, including USD 1.8 billion equivalent of USD- and EUR-denominated cash and deposits held by the headquarters in Amsterdam. This was achieved after we further enhanced VEON Group's cash position by increasing our current revolving credit facility utilization to USD 973 million, as announced on 25 May 2022. As stated previously, we do not have any material debt maturing in 2022.~In addition to HQ-level liquidity, the self-sufficient nature of our operating companies in terms of financing was again highlighted recently. Jazz in Pakistan and Banglalink in Bangladesh have successfully raised local long-term funding to cover their spectrum requirements, with 10-year PKR 40 billion (c. USD 222 million) and 5-year BDT 12 billion (c. USD 135 million) loans, respectively. We have also made material progress in the simplification of our capital structure. As communicated on 21 April 2022, a total of RUB 90 billion in loans were novated to PJSC VimpelCom, with the former borrower (VEON Finance Ireland) and the former guarantor (VEON Holdings BV) having been released. This transaction aligned ruble liabilities with ruble revenues and reduced HQ external debt. We are also working on rationalizing VEON Group's ownership structure of Beeline Kazakhstan.More,David,,4,0
2 months ago,Folks...Go read the letter just posted by VEON's CEO.Your going to LOVE what he has to say!Sentiment: VERY BULLISH.,David,,5,0
2 months ago,News released today 3PM EST.•After initial confusion in the market, U.S. banks by Wednesday determined that they were cleared to trade VEON's bonds because most of its revenue came from outside Russia, according to a bondholder. The Netherlands-based company derived over 42% of its revenue from Russia in 2021, company filings showed, with the rest coming from several other countries including Uzbekistan, Kazakhstan and Bangladesh.VEON has not commented at this time.,David,,1,1
3 months ago,This will be back above 2 soon after the war is over.  Anyone's guess when that will be with the scummy fake ESG elites at the top trying to figure out how to ruin Russia and Russia's infatuation and backing of Putin.,DigitalRobberBarons,,1,7
3 months ago,My broker doesnt allow to buy this? Any idea why?,Aleksandar,,0,1
3 months ago,Any idea on when we can expect this to recover ?,A,,0,0
3 months ago,Starlink and Veon merger or buyout ?,Anonymous,,0,0
3 months ago,Putin  has blood cancer sad to saythis kind of cancer eats you up fast. 1-3  months most of what i know personally.  Putin gone war is gone.,Anonymous,,0,0
3 months ago,Mr. Musk backing off twitter see no value on the media business. Veon next hes looking for acquisition that has value with the billions hes sitting on.,Anonymous,,0,0
