PostDate,Content,Author,RelativeDate,Likes,Dislikes
2 hours ago,Big liquidation by Anonymous today... usually hedge Funds hide their identity behind anonymous trading. I think some funds took the units with the 1$ 3 years warrants but selling off their 11.5m position.,DeepValuer,,1,0
5 days ago,Q3 results will be 🔥. Load up if it’s still in the .70’s,harvey,,2,0
last month,Low key, hope it comes back down to 0.6 so I can buy more lol.,Adrian,,0,0
last month,any upcoming catalyst to look foreword to?,Adrian,,0,0
2 months ago,https://discord.gg/czQfq3kPdW,yonko,,1,0
2 months ago,https://discord.gg/pvECT44bGU,Wasely,,1,0
2 months ago,Underrated stock. Should be $1+. Insiders are buying,harvey,,2,0
2 months ago,Volume has increased recently. This one could be a nice one for a swing trade.,Ugo-Vincent,,1,0
2 months ago,https://discord.gg/czQfq3kPdW,rey,,0,1
2 months ago,Whats the reason for the selloff here? seems like a great opportunity,Adrian,,1,0
3 months ago,What’s happening here,Zz,,0,0
3 months ago,Reimbursement and coverage programs, launch of new products and projected record revenues upcoming. This is a monster in the making.,Jason,,5,0
4 months ago,This company is executing nicely with positioning and various pipelines and approvals. Next step is revenue generation with this positioning.  Ontario public program is a solid start for Redesca.,the10sjester,,0,0
5 months ago,anyone on this board,Jonathan,,2,0
5 months ago,I'm gonna say it again liscence to print money this company has ....,Ron,,1,0
5 months ago,long term to moon,NEHAL,,1,0
6 months ago,Bought more on dip and buying more tomorrow anything under 1.40 is a steal imo !!,Ronz,,2,0
6 months ago,This is soooo undervalued,gabriel,,2,0
7 months ago,Some positive new from Valeo ahead of earnings with a Hesperco trial announced by Steve!https://youtu.be/Rzln38zNZQE,the10sjester,,0,0
7 months ago,Hmm need to find money to buy a bunch of this.,Mr,,1,0
7 months ago,Promo has started online Rich TV... hesperco selling on Amazon.ca bought 3 bottles my self . Buying more warrants in am so cheap , keep loading folks $2.50+ in 6months imo ...,Ronz,,0,0
7 months ago,Help me out here please,,, If two of the biggest insiders of Valeo are CEO/Cofounder Steven Saviuk  and Manitex holdings, and two if the biggest shareholders of  Manitex holdings are CEO of Manitex Steven Saviuk and Simcor Canada Holding inc  and again Steven Saviuk is the director of Simcor?  Can someone more knowledgeable than I help me piece that together? Appreciate it....,M,,0,0
7 months ago,Let it drop....buy the dip, and hold this one for 5 years.....Thank me later.,Dan,,4,0
7 months ago,Time to buy,gabriel,,0,0
7 months ago,She is still in the winter hibernation,  just wait till she wakes up and watch the fireworks...low float and 65% insider ownership!!Pipeline full with 8 new products for 2021 and one that helps with COVID-19 recovery !!,Ronz,,2,0
7 months ago,Bit of a bounce today. Let’s hope we pick up some momentum into earnings in a couple weeks.,the10sjester,,0,0
7 months ago,I just saw this in the press release for Redesca. This could be good for the launch in the next couple months of it in Canada...“In addition to being used primarily for treating and preventing deep vein thrombosis and pulmonary embolism, LMWHs are also now increasingly used as a first line of defense tool in the fight against Covid-19. The World Health Organization ("WHO") issued guidance regarding the prophylaxis use of LMWH to help prevent complications in the clinical management of severe acute respiratory infections when novel coronavirus (COVID-19) infection is suspected.”,the10sjester,,0,0
7 months ago,Sleeper! Usa promo staring soon Q1 due feb26th , low low float 65% insider ownership,  this business has a license to print money ! Been in for 2 months ! Smart money accumulate while others procrastinate , Do some DD on this company and you will see what I see !!!!,Ronz,,2,0
9 months ago,Anybody know what the Q4 financials looked like?  I didn’t see the numbers posted on the company IR site. Seems like a good business with the recent approvals for product distribution,the10sjester,,0,0
9 months ago,is this still a gem?,Dun Roman,,0,0
11 months ago,This is a gem,JK,,0,0
last year,Can't wait until they get approval for uplisting in OTC for US investors...seems a solid company.,Lyfe,,2,0
