PostDate,Content,Author,RelativeDate,Likes,Dislikes
31 October, 2022,Why not look at the value of ZIM based upon the portion of Earnings in the last 12 months not paid out as Dividends. If ZIM's retained earnings last 12 months were approx. US$ 20 per share X 120 million shares = US$ 2.4 Billion were reinvested by Management in building their business model, then in...See more,Keener,,87,0
16 November, 2022,I see that cash and equivalents are just above $37 per share. With the current price level we are offered a dollar for 70 cents. I suppose that the possible impact of falling rates is way over-built into the price level. ,Andrew,,35,0
10 November, 2022,Drewry urges shippers to start planning for decarbonization in shipping, warns of up to $14 billion in extra costs. ZIM has taken delivery of their first of 10, 15,000 TEU containerships fueled with LNG / dual fuel .They have inked a 10 year LNG fuel supply agreement with Shell and I suspect they w...See more,Retireyung,,60,0
17 November, 2022,My guess is ZIM's 2023 dividends of (9, 2, 2 and 2) total $15. Bottom Line 60% on $25 in a bad economic year ahead. If I had a Financial Advisor they'd tell me "it's too good to be true" and wouldn't advise me to invest in such a risky company like ZIM. Good thing I don't listen to the so-called PR...See more,Keener,,34,0
2 days ago,I was reading the post about "JP Morgan's analyst Sam Bland just updated on ZIM". What I dont get is that ZIM more or less broke even before COVID with rates of $1000-1500.Now people are speaking of negative cash flow and being unprofitable in 2023 and 2024. How does that make any sense when rates ...See more,Luke,,16,0
22 December, 2022,I'm a long term investor.  Bought 50K shares at $43 and have picked up a couple of dividends to bring the basis down to $38 or so.  I thought $43 was a reasonable entry point with the stock 50% beow it's peak so what do I know.  This morning I sold some holdings elsewhere and bought another 50K sha...See more,John,,27,0
24 December, 2022,Price is what you pay, value is what you get.  Everyone cares about price but the long investors care much more about value, and they can wait for it to show up in the price.  The short seller depends on short term price movements to the down side, and risks upside movement that can result in unlim...See more,Canyon Traveler,,18,0
4 January, 2023,There is a really good article on gCaptain about the digital transformation of the shipping industry.  Very worth a read, and it is directly relevant for ZIM, which has invested heavily in its digital side with recent acquisitions.  I think it is also key to the next shipping industry transformatio...See more,Andrew,,14,0
2 November, 2022,A stock with a PE of .4, a ROE of 178%, three billion dollars in cash, debt-to-equity of 80%, a business plan that locks in flexibility in fixed assets (cancellable leases) in a world where globalization of far offshore, low-cost supply feeds product to elevated levels of demand from wealthier nati...See more,Frank,,38,0
1 November, 2022,Zim has 6 ships schedule for West Coast ports in the next 6 weeks. However, almost all of their US ports-of-call are on the East Coast and spread between Houston to Boston. Most of those are headed to NY/NJ through the everglades. 

As you are looking at indexes trying to get a sense of what spot rat...See more,MainePilot,,26,0
31 October, 2022,Why not look at the value of ZIM based upon the portion of Earnings in the last 12 months not paid out as Dividends. If ZIM's retained earnings last 12 months were approx. US$ 20 per share X 120 million shares = US$ 2.4 Billion were reinvested by Management in building their business model,,0,0
16 November, 2022,I see that cash and equivalents are just above $37 per share. With the current price level we are offered a dollar for 70 cents. I suppose that the possible impact of falling rates is way over-built into the price level. ,,0,0
10 November, 2022,Drewry urges shippers to start planning for decarbonization in shipping,,0,15
17 November, 2022,My guess is ZIM's 2023 dividends of (9,,2,0
22 December, 2022,I'm a long term investor.  Bought 50K shares at $43 and have picked up a couple of dividends to bring the basis down to $38 or so.  I thought $43 was a reasonable entry point with the stock 50% beow it's peak so what do I know.  This morning I sold some holdings elsewhere and bought another 50K sha...See more,,0,0
24 December, 2022,Price is what you pay,,0,0
4 January, 2023,There is a really good article on gCaptain about the digital transformation of the shipping industry.  Very worth a read,,0,0
2 November, 2022,A stock with a PE of .4,,0,0
26 November, 2022,Monday will be interesting. While the pps will be taken down due to the dividend,,0,0
1 hour ago,(http://the-alphatrader.com/) is a must for any trader. Their watchlist which covers pre-market movers is one of the best researched in the industry. I don't start trading without reading their daily email each morning!,iheanacho,,0,0
2 hours ago,@kasis, it's not about if it will reach $60. Anything can happen. It's a stock market,,0,0
2 hours ago,Whenever Kasis shows up, always a good time to buy. The guy is a bust,,0,0
2 hours ago,I love GSL more. + 6 % now,kasis,,0,0
2 hours ago,Does anyone have a good read on ZIM?s position relative to the three big alliances? According to a news release, they just ended an agreement with the Maerks group but started a smaller one on different routes. Are they part of a price fixing or gouging scandal that could hit just about the time when ZIM has their year end earnings announcement? What is their exposure to US investigations? Yahoo does a really #$%$ job reporting important news.,,0,0
2 hours ago,Expecting - 3% down today,kasis,,0,0
2 hours ago,GSL SBLK and othes +4 % today,kasis,,0,0
2 hours ago,The irony of ZIM positive pre-market makes me think it is going to go down during regular trading hours &amp; negative pre-market means it's going to go up 😂 Not worried about the future though it's a good buy right now at $60 it will be strong buy😄,Aniket,,0,0
9 hours ago,Russia's war on Ukraine could triple ocean shipping rates to $30,000 per container,,0,0
16 hours ago,According to news releases, President Biden is expected to raise concerns during his speech tonight about the high cost of shipping,,0,0
22 hours ago,Sell off from Maersk and MSC stopping any shipping activities with Russia.Does not impact ZIM as I don't believe they had operations with Russia or whatsoever.Just another buying opportunity, acquired more shares at 66.60 $.Just like the 62 $ dip from last week,,0,0
22 hours ago,https://finance.yahoo.com/news/russia-gets-cut-off-world-170521596.htmlHere’s probably why we are down big today. I don’t knowZIM’s exposure to Russia.,Attila the Hon,,0,0
23 hours ago,Crash,kasis,,0,0
yesterday,We have resistance at 69.50 &amp; strong support at 67.90 at least; that's the situation right now. $1.60 difference that's a good difference to play😄,Aniket,,0,0
yesterday,well well...some parties trying to push this gem down to get in cheap. See it positive...it will explode next week.,Reinder,,0,0
yesterday,Wouldn't it be a shame to sell now and have ZIM report $38 2021 earnings, declare a 40% dividend equaling $12.50,,0,0
yesterday,is there a dividend every quarter or is it paid annually?,James,,0,0
yesterday,Today this will crash down big. Already - 2%. I would not count on earnings. Its hopeless case. Only short.,kasis,,0,0
yesterday,Will the March dividend be $2.5 plus a special payment?,Pete,,0,0
yesterday,Ukraine war will most likely leave the fed to raise only 1/4 point this month.  Making it easier on Corporations fleeing Russia.,Peter,,0,0
2 days ago,The White House has announced a new initiative between the Federal Maritime Commission and the Dept of Justice's Antitrust Division to take on the 3 largest shipping alliances.,MichaelP,,0,0
2 days ago,Kasis, remember when you told me to buy sber?  How is that working out today?  Russia halted international traders and it plunged 70+%.  You do everything backwards.  You shorted here also?  Lol.  You will learn the hard way I guess.  Zim will pass $90.00 within 10 days.  Long Zim!,,0,0
2 days ago,In a down market little ESEA was strong. Only 15 ships but great contracts. Market close was strong for ZIM. With earnings next week, ZIM could close this week around $75.,,0,0
2 days ago,Buy buy buy low while you can,Loco,,0,0
2 days ago,Today all shipping stocks crashing big time,kasis,,0,0
