body,created_at
$DMYI IONQ IONQ!,2021-09-26T04:32:22Z
SweepCast alerted: $DMYI with Unusual Options Activity Alerted on $12.5 CALL Expiring: 10-15-2021 worth 30K🐂 |🥇 Start Using SweepCast!  https://www.sweepcast.com/optionflow?symbol=DMYI&amp;name=CALL&amp;strike=$12.5&amp;type=SWEEP&amp;pre=$30K&amp;exp=10-15-2021  🥇 |,2021-09-26T04:16:08Z
$DMYI @Sadhst  merger completion sept 28 possible.

Their final product “quantum computing machine device”, size of Xbox will complete in 2023

Company https://ionq.com

 👀  FYI,2021-09-26T03:21:20Z
$DMYI this merger is gonna be 🔥.  Could move like $arqq or $irnt if volume hits next week. 

Watching $bbig &amp; $tmc for dip buys.

GL 🙏,2021-09-26T02:24:53Z
$DMYI if the narrative for this pump is short squeeze, it&#39;s much worse price wise than if the narrative is just focused on the strong fundamentals of the company and their strong position within the market,2021-09-26T02:04:09Z
$AEHR, $DMYI and $CRCT are the top gainers for the day. https://www.chartmill.com/stock/stock-screener?v=3&amp;f=sl_pt_4_X,p_pg10,v1_50b500,exch_us&amp;s=pt&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_top_gainers&amp;utm_campaign=social_tracking,2021-09-26T01:33:00Z
$DMYI Been here for a while and invested in most of de Masi SPACs 1-2-3 and considering 4. Lots of doubt in the past months holding SPACs that didn’t move, but here we are again, held through difficulties and seems like they have taken a different course from last month.  It is a relief and really shakes away the doubts.  
With the last spike, just before merger, and how other Quantum players have moved I am confident we won’t go to $5-6, though always trade responsibly, but we will get a huge spike. This sector is hot and with low float available we might spike really high. This will be 3 bagger soon. Enjoy the ride and GL.,2021-09-26T01:09:30Z
$DMYI so how many shares is everyone holding? I have 7000 at an average of $10.41.,2021-09-26T00:25:25Z
$AGC $VIH $DMYI $RTPY $HZAC
Top 5 Upcoming SPAC mergers 
https://youtu.be/o0YhoDpaXBc,2021-09-26T00:13:01Z
$DMYI Once ticker changes will this drop? Do you think this could be $20-30 in 5 years?,2021-09-25T23:25:32Z
Top tickers from the Smart Money Unusual Options Activity Weekly Recap courtesy of real-time dashboard from https://insiderfinance.io:

1. CAN 497% OTM
2. TMC 180% OTM
3. BBIG 118% OTM
4. HOOD 83% OTM
5. CVM 76% OTM
6. GSAT 75% OTM
7. HOFV 70% OTM
8. CRVS 66% OTM
9. EKSO 52% OTM
10. SKLZ 50% OTM
11. $DMYI 50% OTM
12. $OEG 48% OTM
13. $ATER 45% OTM
14. $APRE 44% OTM
15. $IRNT 43% OTM
16. MRIN 42% OTM
17. TELL 41% OTM
18. AEHR 41% OTM
19. BKYI 41% OTM
20. FCEL 40% OTM
21. SPIR 40% OTM
22. AVPT 39% OTM
23. BROS 39% OTM
24. WISH 38% OTM
25. SPI 37% OTM
26. SDC 36% OTM
27. RAD 36% OTM
28. CCXI 36% OTM
29. AMC 35% OTM,2021-09-25T23:18:21Z
$DMYI I am super bullish on this stock... Going long on this one.,2021-09-25T20:33:20Z
$DMYI always good for a stock&#39;s publicity once the discord room snake oil &quot;we will make you so rich&quot; guys start turning up lol what clowns,2021-09-25T20:01:54Z
$DMYI $THRN $ICLK $AIM $GOEV 
Last year I lose more than 60K that disappointed me, Finally I&#39;ve made 147K+, By their alert..! If you really want to make a huge profit on trading....
Join this official Discord chatroom: discord.io/Stock_Option_alerts,2021-09-25T19:19:51Z
$DMYI running HARD next week,2021-09-25T19:00:38Z
$DMYI The only other time DMYI was up 13.9% during a trading day, it then went down 5.1% by the next day&#39;s market close. link in bio (wallstreetodds .com).,2021-09-25T18:20:49Z
$DMYI would love some feed back on feeling about (holding) through the merger. Thanks peeps ✌️.,2021-09-25T17:49:37Z
$DMYI “So far, the company has raised $82 million and it’s no surprise that Amazon is one of IonQ’s primary backers. Then again, so are a few other companies with interest in massive-scale optimization for transport, manufacturing, and defense (Lockheed Martin, for instance).” 

Remember Peter Chapman IonQ ceo left Amazon as chief engineer of prime
 to become IonQ CEO! https://www.nextplatform.com/2021/09/09/amazon-might-eventually-become-the-largest-quantum-consumer/,2021-09-25T17:49:34Z
