body,created_at
$PKKFF  What a beautiful evening in the Vancouver area this has been.  Out on the balcony at times relaxing as a big, full orange harvest type moon lurks low in the sky.,2021-07-24T04:52:36Z
$PKKFF CSE Bulletin: New Listing - Peak Fintech Group Inc. Warrants (PKK.WT)

https://ceo.ca/@newsfile/cse-bulletin-new-listing-peak-fintech-group-inc,2021-07-24T04:31:01Z
$PKKFF 
Like.......near term (pre-consolidation)......

On July 23rd, Peak Fintech Group Inc. (CSE: PKK) (OTCQX: PKKFF) was featured in a promising report issued by Zacks Small-Cap Research that indicated a strong outlook, profitability and a near-term target price of US$4.50 (pre-consolidation). For more details, the report can be found here.,2021-07-24T03:40:09Z
$PKKFF Peak to be on Benzinga next week… Found reference to this on Discord 👌

https://twitter.com/benzinga/status/1418731658505867269?s=21,2021-07-24T03:38:26Z
$PKKFF,2021-07-23T22:05:37Z
$PKKFF for fellow Canadian you can now buy $PKKFF and $IDKFF on Wealthsimple trade as of today 😀.,2021-07-23T21:28:17Z
$PKKFF CHF WEEKLY ROUND-UP
 https://mailchi.mp/chfir/chf-weekly-round-up-821277?e=60d8cb1a96,2021-07-23T20:33:28Z
$PKKFF absolutely no volume (~20,000/hour) after the first hour (170,000) which means people bought what they wanted in the AM and left.,2021-07-23T19:56:03Z
$PKKFF I absolutely love the ticker name TNT psychologically it’s enticing. is the ticker tnt A for sure thing?,2021-07-23T19:46:17Z
$PKKFF might close at 2.3 today,2021-07-23T18:35:08Z
$PKKFF Cocktail napkin valuation calculation.  $UPST I will project to do $600 million in Revenue in 2021.  Current market cap is $9 Billion which means it&#39;s trading at 15X sales.  Peak Financial is projected to do $100 million in Revenue in 2021.  15X that would be a market cap of $1.5 Billion.  Current Market Cap is $289 million.  To be on par with Upstart&#39;s valuation  $PKKFF should be over $10.  Let&#39;s go!,2021-07-23T18:31:38Z
$PKKFF 1850 watchers, up about 100 in the past month (welcome!). Let&#39;s see where we&#39;re at a month from now 🙂,2021-07-23T18:16:48Z
$PKKFF,2021-07-23T17:38:45Z
$PKKFF Do the warrants that were recently issued at a conversion price of $3.50 trade in the U.S. markets?,2021-07-23T16:22:16Z
$PKKFF Watch for some block buys now ..

I&#39;m in a large buying group, and the group consensus just decided, (finally ) is going in on PKK !!

 ..  you can thank me later,2021-07-23T15:42:54Z
$WISH  $PKKFF  uplist coming check this stock out,2021-07-23T14:48:19Z
$PKKFF https://s27.q4cdn.com/906368049/files/News/2021/Zacks_SCR_Research_07222021_PKKFF_Thompson.pdf,2021-07-23T14:00:57Z
$PKKFF trying to buy for $2.23 but only 50 shares were sold. I might wait a bit longer,2021-07-23T13:41:01Z
$PKKFF volume has been picking up. Strong today thus far.,2021-07-23T13:39:12Z
$PKKFF think this is gonna stay above 2.24 today?,2021-07-23T13:33:21Z
$PKKFF 😁💪🏻,2021-07-23T13:17:13Z
$PKKFF say it ain&#39;t so,2021-07-23T13:11:50Z
$KYNC She,s A Keeper!!!!!! 
$PKKFF $CSCO $DMC.X $SPY,2021-07-23T12:14:11Z
$PKKFF expect this to run to a 1bn market cap or 3x after uplist. $UPST $AFRM,2021-07-23T09:59:58Z
$PKKFF Reviewed the July investor slide deck &amp; noticed 2 things:   

1. PKK acquires banking AI software company Zhongke.  -&gt; Previous news release said they were ACQUIRING, don’t recall seeing an announcement that the deal was done.

2. No partnership mention of Pinduoduo -&gt; Curious if the government review/audit has actually completed or why it wasn’t listed?

Food for thought as to possible news to come. Time will tell.,2021-07-23T03:32:27Z
$KYNC Our Thots don’t stop till the last drop!!!!....$PKKFF  $MCRS  $BRK.A  $UNB,2021-07-23T02:29:08Z
$PKKFF I went big on this today at 2.02.  I am hoping this thing sustains momentum on this NASDAQ up listing.  After the RS and up listing maybe we start seeing wall street coverage and upgrades.  I know you are supposed to do your DD before going big.  I did it in reverse.  Can anyone help with some background on this Johnson Joseph?  What is his experience and previous accomplishments?  Helpful links or babble welcomed.   Thank you all for your kind words and encouragement on my previous post.,2021-07-23T01:26:44Z
$PKKFF- 2:1 RS confirmed, effective 07/27/21.,2021-07-23T00:54:29Z
$KYNC  Without Bears there would be no Bulls,the market requires balance or it would all fall apart,Let’s all make money besides I need some Bullish KYNC profit taking so I can get back to Colombia,meantime let’s enjoy some BOOBS !!!!!!! 
$PKKFF $LYSCF $BBKCF $CSCO,2021-07-23T00:36:13Z
$PKKFF waiting for the day when the earning is 1b.. 2024?,2021-07-22T23:25:14Z
