body,created_at
$PQEFF is going to save the market. $500 million of mostly retail funds immediately being redeployed into small caps.,2022-01-21T00:59:27Z
$PQEFF Soon. Tender now, operators are standing by.,2022-01-21T00:47:26Z
$PQEFF,2022-01-21T00:39:17Z
$PQEFF 🙂,2022-01-20T22:33:33Z
$PQEFF guys, use your gains to short tech. I’ve been making a killing off PLTR, PTON, and QQQ.,2022-01-20T21:03:13Z
$GEVO buy in december 2020 @ 2 Dollars and sold @ 11 Dollars. Now wait for my $PQEFF money in february to load again BIG,2022-01-20T20:40:28Z
$PQEFF JUST BOUGHT MORE TO TENDER FOR NEXT WEEK 150000,2022-01-20T20:33:35Z
$PQEFF tendered 20k yesterday and bought another 15k to tender tomorrow.,2022-01-20T19:25:44Z
$PQEFF,2022-01-20T19:21:29Z
$PQEFF 

https://forms.gle/J2GFhtYJJoHQ9Pwy5,2022-01-20T18:27:15Z
$PQEFF tendered last week the rest of my 76k,2022-01-20T18:20:38Z
$PQEFF. Tendered 650k this morning. Will hold out on the rest until Feb 1st. Fidelity said they&#39;re deadline  was the 2nd.,2022-01-20T18:08:04Z
$PQEFF do You need an specifical amount of shares in order to tender? Or with justo a couple of thousand You are good to go?,2022-01-20T18:01:55Z
$PQEFF need @PennyQueen  to drop another poll so we can figure out how many shares are represented here on ST alone.,2022-01-20T17:59:41Z
$PQEFF please $EEENF wait till february for me,2022-01-20T17:33:35Z
$PQEFF Not too worried about the percentage tendered being over 50% 
anyone with a decent stake won&#39;t be sleeping out the wheel on tendering nor (after seeing the 10k) holding out hope to hang on for a better deal 
 
Only the lunatic fringe or the fast asleep won&#39;t tender. No way that&#39;s  a majority,2022-01-20T17:26:39Z
$PQEFF have 1/3 of my portfolio on this thing. 
 
v tempted to add to 1/2 or even higher,2022-01-20T17:19:25Z
$PQEFF do you have tendered?,2022-01-20T17:17:51Z
$PQEFF me after a good end in february,2022-01-20T17:16:48Z
$PQEFF ,2022-01-20T17:04:44Z
$PQEFF tendered 300k,2022-01-20T16:55:52Z
$PQEFF me and my account after tendering  02/07/22,2022-01-20T16:51:28Z
$PQEFF keep the tendies coming,2022-01-20T16:31:50Z
$PQEFF 58k tendered,2022-01-20T16:30:17Z
$PQEFF tendered 140k last week 👍,2022-01-20T16:28:25Z
$PQEFF tendered 570,000 🙏,2022-01-20T16:22:53Z
$PQEFF They wont know Wombat, can&#39;t speak for rest of the world ,but here in the UK I understand that brokers are gathering all the shares but not tendering them until early February. That is certainly happening with 2 of the major players anyway.,2022-01-20T16:11:52Z
$PQEFF Add me to the list of those who have tendered their shares.,2022-01-20T16:07:04Z
$PQEFF Viston ! Let’s get an update with where we are at with total percentage of tender!,2022-01-20T16:05:31Z
$PQEFF All the reasons to tender direct from Petroteq&#39;s 10-Q (1/19/22):,2022-01-20T15:50:58Z
