body,created_at
$SBLK one of the few stocks I&#39;m comfortable holding through this mess. Most of my recent moves on other stocks have admittedly been shorts and puts, trying to play the hand we&#39;re being dealt, not really buying the dip just yet. This particular stock has been an exception. Right here and now, it seems like these guys are poised to continue increasing their profit. Netflix, PayPal, Apple, Disney, Microsoft, Tesla and so many more getting rocked over the last couple months. In a market where very few stocks (if any) are even remotely close to a safe bet, I think this is one of them. If anything it&#39;s being seriously held back because of how terrible the market is.,2022-05-12T03:29:21Z
2022-05-11 Short sale volume (not short interest) for $SBLK is 36%. http://shortvolumes.com/?t=SBLK via @shortvolumes,2022-05-12T02:32:33Z
Strong and reliable Dividend: $SBLK and others in the &#39;Best Dividend Stocks&#39; screen. https://www.chartmill.com/stock/stock-screener?sid=288&amp;f=p_pg10,v1_50b500,sl_dvd_7_X,sl_he_5_X,sl_pr_5_X&amp;s=dvd&amp;v=19&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Best_Dividend_Stocks&amp;utm_campaign=social_tracking,2022-05-11T23:56:00Z
$SBLK $DVN 
Tech stocks are dead
Oil stocks are the new FANG
Shipping stocks are the new MAGA,2022-05-11T18:52:35Z
$SBLK as i said 36 and 1.6 dividends,2022-05-11T18:15:41Z
$SBLK shouldn’t we be up for a div soon?  Last ex div was Feb 28.,2022-05-11T18:13:22Z
$SBLK $GOGL $ZIM $DAC $NAT Trying to figure out if there is an opportunity to buy puts on a dip before earnings rip,2022-05-11T18:09:10Z
$SBLK was the market&#39;s top quarterly gainer, rising +18.25%. Expect an Uptrend continuation. View odds: https://srnk.us/go/3654841,2022-05-11T18:02:28Z
$SBLK ,2022-05-11T15:43:48Z
$SBLK Nice.... 
https://finance.yahoo.com/news/baltic-index-gains-8th-consecutive-133306658.html,2022-05-11T13:48:32Z
$SBLK 📰 Star Bulk Announces Results of Its 2022 Annual Meeting of Shareholders

https://quantisnow.com/i/2866891?utm_source=stocktwits

45 seconds delayed.,2022-05-11T13:00:53Z
$SBLK  Star Bulk Announces Results of Its 2022 Annual Meeting of Shareholders
https://www.stocktitan.net/news/SBLK/star-bulk-announces-results-of-its-2022-annual-meeting-of-kunwnilng801.html,2022-05-11T13:00:12Z
$SBLK Star Bulk Announces Results of Its 2022 Annual Meeting of Shareholders 

https://newsfilter.io/a/c49aa62a5cfe4a9c8a67bec1937a8bcf,2022-05-11T13:00:08Z
$SBLK 

So absurd for this to be below $40 given what profits will be this year.,2022-05-11T11:33:03Z
$SBLK https://splash247.com/capes-top-30000-a-day-as-bdi-climbs-to-highest-level-this-year/,2022-05-11T11:12:06Z
Momentum Activity: $SBLK is the #8 ticker with momentum activity traded by institutions with options transaction volume 5.0x the average daily volume, a leading indicator of market movement.

