body,created_at
$TNT ,2022-03-04T01:40:39Z
$TNT  Nice finish , up 17.5% on CAD side  ;P,2022-03-03T21:08:52Z
$TNT Not my friend he has to wait till April when his house closes.,2022-03-03T21:06:24Z
$TNT To end the week in the 5s (CAD) would be unreal. Would be even better to see it in the 6s before any news. Makes that jump even higher come Nasdaq and earnings.,2022-03-03T21:06:06Z
$TNT $3.59,2022-03-03T20:59:28Z
$TNT,2022-03-03T20:56:22Z
$TNT Really ...,2022-03-03T20:42:44Z
$TNT Maybe my friend @gamblerjag is buying🤣🤩,2022-03-03T20:24:38Z
$TNT  not that much volume... I&#39;m a little suspicious of this price movement.,2022-03-03T19:52:05Z
$TNT told you! It’s done… finally,2022-03-03T19:43:03Z
$TNT I have to believe this time around, no news is good news.. there’s no way SEC would still be reviewing this company if it wasn’t on its way to approval, this is the longest gap between amendments and we havent heard about or seen a new one submitted💪🏻 LfGOooooo we deserve a win here, Q4 numbers will break records across the board Q1 2022 should be even better,2022-03-03T19:41:45Z
$TNT Everyone should know by now if the sp pops quickly without news then it’ll drop quick as well. I learned not to get to excited with these sudden spikes with this stock .,2022-03-03T19:22:56Z
$TNT price consolidating. It is safe to buy back,2022-03-03T19:21:03Z
$TNT lol and the pullback. 

Come on SEC this wants to launch!!!,2022-03-03T19:17:47Z
$TNT let’s go boys I’m liking what I’m seeing,2022-03-03T19:06:27Z
$TNT first time in 2022 that $TNT is lifting the green side of my day!,2022-03-03T19:05:26Z
$TNT,2022-03-03T19:01:38Z
$TNT 5.2 cdn close,2022-03-03T19:01:33Z
$TNT 🚀 🦍,2022-03-03T18:58:14Z
$TNT get us on NASDAQ!! Lets goooo,2022-03-03T18:58:08Z
$TNT  someone knows something?  Nope, nobody knows anything, not even cathy or Barry,2022-03-03T18:52:54Z
$TNT  I cant wait to see this litter monster trending when sec announces approval,2022-03-03T18:52:13Z
$TNT 🚀,2022-03-03T18:51:45Z
$TNT Down trend break. Perfect time to announce nasdaq.,2022-03-03T18:51:08Z
$TNT should be trending,2022-03-03T18:44:26Z
$TNT huge gap to fill between $6 and $9. Let&#39;s go!,2022-03-03T18:42:06Z
$TNT two days of green ?,2022-03-03T18:40:46Z
$TNT Come on SEC!!,2022-03-03T18:40:20Z
$SBRCY $TNT $VTMXF 
 
Give us the strength my Lord,life changers,2022-03-03T18:40:07Z
$TNT Remember the saying, “Beware of the Ides of March”? 

Did the wick just get re-lit?! Watch out bears and shorts…..,2022-03-03T18:37:52Z
