body,created_at
@SweepCast Unusual Options Observed : $UAN with our scanner on $155 CALL Expiring: 11/18/2022 worth 26K🐂  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-18T04:07:06Z
$UAN $CF $BG $IPI $ICL 
Crisis spreading around the world 

Global Food Crisis: Shortages Pose ‘Apocalyptic’ Threat to UK Citizens https://www.breitbart.com/europe/2022/05/17/global-food-crisis-shortages-pose-apocalyptic-threat-to-uk-citizens/,2022-05-17T21:01:38Z
$WEAT $IPI $UAN $CF $BG 
Crisis increasing. Farmers struggling with the continued rise in price for Diesel &amp; Fertilizer shortages. 
These will continue to rise!,2022-05-17T18:22:00Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $75 CALL Expiring: 05/20/2022 worth 33K🐂  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-17T17:04:43Z
$UAN I need it to touch 135 so my call bids go through 😩 don’t leave me behind,2022-05-17T16:34:55Z
$UAN Any little residential purchasing will be sucked up by institutions,2022-05-17T15:18:23Z
$CF $ANDE $UAN $IPI 
Yesterday I read an article that said a grocery store chain has hired armed guards 
Because of increased food shortages &amp; people cannot afford food prices. I just heard Scott Shellady confirmed in Iowa there ARE now armed guards in grocery stores.,2022-05-17T15:11:29Z
CVRPartners $UAN BidaskScore is #Reiterated to StronglyBought https://bidaskclub.com/news/company/2022-05-03/UAN,2022-05-17T05:15:07Z
$LXU Bought a full position of this producer of Nitrogen fertilizers and other chemicals.   It is a microcap that is not well covered but is benefiting nicely from the WW shortage of fertilizers.  Last quarter grew revenues 103% and EPS 316%, 3rd qtr in a row of growth 
 and is cheap.   
 
My $UAN is also running today as we are getting buyers coming in from the pull back from the last 2 weeks.,2022-05-16T18:53:10Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $195 PUT Expiring: 12/16/2022 worth 41K🐻  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-16T18:38:35Z
$CF $IPI $UAN $ANDE 

https://www.zerohedge.com/political/now-we-are-being-told-expect-food-and-diesel-shortages-foreseeable-future,2022-05-16T18:34:45Z
Greenwich Investment Management Inc.,has filed Form 13F for Q1 2022.Opened NEW positions in $EPD $MYNZ $UAN $VRRKF,2022-05-16T16:30:49Z
$UAN Seriously, if you are not buying, you&#39;ll be crying. Besides mega cash distributions coming, we&#39;ll see a 3x upside from here in trading range very soon. Do your own DD.,2022-05-16T16:02:16Z
$UAN no reason to sell. Q2 is going to be huge including the divy.,2022-05-16T15:28:01Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $195 PUT Expiring: 12/16/2022 worth 41K🐻  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-16T09:14:32Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $195 PUT Expiring: 12/16/2022 worth 41K🐻  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-15T16:38:46Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $195 PUT Expiring: 12/16/2022 worth 41K🐻  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-15T14:16:32Z
$IPI $UAN $ANDE $CF $ICL,2022-05-14T21:47:28Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $195 PUT Expiring: 12/16/2022 worth 41K🐻  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-14T12:34:40Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $60 CALL Expiring: 12/16/2022 worth 181K🐂  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-13T16:43:01Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $70 CALL Expiring: 11/18/2022 worth 65K🐂  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-13T15:25:20Z
If you’re trading this week, Read This! $UAN&#39;s price moved below its 50-day Moving Average on May 9, 2022. View odds for this and other indicators: https://srnk.us/go/3659804,2022-05-13T13:34:23Z
$UAN - Persistent trend in Highest value over a specified period indicator https://www.macroaxis.com/stocks/Math-Operators/Highest-value-over-a-specified-period/UAN,2022-05-13T11:19:03Z
CVR Partners LP ( $UAN ) social hype OVER HYPED. probability of… https://www.macroaxis.com/stock/UAN/CVR-Partners-LP #trading #ideas #stocks,2022-05-13T10:44:03Z
Consider investing in June 2022: CVR Partners( $UAN ),… https://www.macroaxis.com/invest/stock-correlation?s=UAN,PSA,IGT,ADSK,VLO,EXPE,WIRE,GOOG,GS,WY,AMD,BMY #correlations #stocks #stockratings,2022-05-13T07:22:05Z
$UAN - The skewness is down to -0.3 as of today. https://www.macroaxis.com/invest/technicalIndicator/UAN/Skewness,2022-05-13T06:19:05Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $60 CALL Expiring: 12/16/2022 worth 181K🐂  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-13T05:13:58Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $70 CALL Expiring: 11/18/2022 worth 65K🐂  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-13T02:21:45Z
$IPI $UAN $CF $ANDE 
Trending for a reason $WEAT $WEAT,2022-05-12T18:12:54Z
@SweepCast Unusual Options Observed : $UAN with our scanner on $165 CALL Expiring: 11/18/2022 worth 82K🐂  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-12T16:03:17Z
